"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","description","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","data_processing.5","platform_id","contact_name","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","cell line:ch1","cell type:ch1","ev population:ch1"
"GSM2837764","Primary keratinocytes (Microvesicles) patient 363","GSM2837764","Public on May 20 2019","Nov 02 2017","May 20 2019","SRA","1","Conditioned media","Homo sapiens","cell type: primary keratinocytes","ev population: Microvesicles","","Epidermal primary keratinocytes (PKCs) were freshly isolated from donor skin and propagated on i3T3 feeder cells using the method of Rheinwald and Green. HaCaT cells were purchased from CLS Cell Lines Service GmbH (Eppenheim, Germany). All keratinocyte cultures were maintained at 37 oC in a 5% CO2 / 95% air atmosphere, with media changes every 2 days, and subcultured when the cultures became 80% confluent.","total RNA","Total RNA was extracted using the Trizol™ method following the manufacturer’s protocol","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","363_Mv","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the default parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalized and statistically analyzed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: Tab-delimited file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07967383","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3353426","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2837nnn/GSM2837764/suppl/GSM2837764_363_Mv.csv.gz",NA,"primary keratinocytes","Microvesicles"
"GSM2837765","Primary keratinocytes (Exosomes) patient 363","GSM2837765","Public on May 20 2019","Nov 02 2017","May 20 2019","SRA","1","Conditioned media","Homo sapiens","cell type: primary keratinocytes","ev population: Exosomes","","Epidermal primary keratinocytes (PKCs) were freshly isolated from donor skin and propagated on i3T3 feeder cells using the method of Rheinwald and Green. HaCaT cells were purchased from CLS Cell Lines Service GmbH (Eppenheim, Germany). All keratinocyte cultures were maintained at 37 oC in a 5% CO2 / 95% air atmosphere, with media changes every 2 days, and subcultured when the cultures became 80% confluent.","total RNA","Total RNA was extracted using the Trizol™ method following the manufacturer’s protocol","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","363_Ex","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the default parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalized and statistically analyzed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: Tab-delimited file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07967384","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3353427","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2837nnn/GSM2837765/suppl/GSM2837765_363_Ex.csv.gz",NA,"primary keratinocytes","Exosomes"
"GSM2837766","Primary keratinocytes (Cells) patient 325","GSM2837766","Public on May 20 2019","Nov 02 2017","May 20 2019","SRA","1","Cells","Homo sapiens","cell type: primary keratinocytes","ev population: Keratinocytes","","Epidermal primary keratinocytes (PKCs) were freshly isolated from donor skin and propagated on i3T3 feeder cells using the method of Rheinwald and Green. HaCaT cells were purchased from CLS Cell Lines Service GmbH (Eppenheim, Germany). All keratinocyte cultures were maintained at 37 oC in a 5% CO2 / 95% air atmosphere, with media changes every 2 days, and subcultured when the cultures became 80% confluent.","total RNA","Total RNA was extracted using the Trizol™ method following the manufacturer’s protocol","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","325_C","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the default parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalized and statistically analyzed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: Tab-delimited file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07967394","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3353428","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2837nnn/GSM2837766/suppl/GSM2837766_325_C.csv.gz",NA,"primary keratinocytes","Keratinocytes"
"GSM2837767","Primary keratinocytes (Apoptotic bodies) patient 325","GSM2837767","Public on May 20 2019","Nov 02 2017","May 20 2019","SRA","1","Conditioned media","Homo sapiens","cell type: primary keratinocytes","ev population: Apoptotic bodies","","Epidermal primary keratinocytes (PKCs) were freshly isolated from donor skin and propagated on i3T3 feeder cells using the method of Rheinwald and Green. HaCaT cells were purchased from CLS Cell Lines Service GmbH (Eppenheim, Germany). All keratinocyte cultures were maintained at 37 oC in a 5% CO2 / 95% air atmosphere, with media changes every 2 days, and subcultured when the cultures became 80% confluent.","total RNA","Total RNA was extracted using the Trizol™ method following the manufacturer’s protocol","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","325_Ap","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the default parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalized and statistically analyzed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: Tab-delimited file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07967393","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3353429","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2837nnn/GSM2837767/suppl/GSM2837767_325_Ap.csv.gz",NA,"primary keratinocytes","Apoptotic bodies"
"GSM2837768","Primary keratinocytes (Microvesicles) patient 325","GSM2837768","Public on May 20 2019","Nov 02 2017","May 20 2019","SRA","1","Conditioned media","Homo sapiens","cell type: primary keratinocytes","ev population: Microvesicles","","Epidermal primary keratinocytes (PKCs) were freshly isolated from donor skin and propagated on i3T3 feeder cells using the method of Rheinwald and Green. HaCaT cells were purchased from CLS Cell Lines Service GmbH (Eppenheim, Germany). All keratinocyte cultures were maintained at 37 oC in a 5% CO2 / 95% air atmosphere, with media changes every 2 days, and subcultured when the cultures became 80% confluent.","total RNA","Total RNA was extracted using the Trizol™ method following the manufacturer’s protocol","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","325_Mv","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the default parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalized and statistically analyzed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: Tab-delimited file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07967392","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3353430","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2837nnn/GSM2837768/suppl/GSM2837768_325_Mv.csv.gz",NA,"primary keratinocytes","Microvesicles"
"GSM2837769","Primary keratinocytes (Exosomes) patient 325","GSM2837769","Public on May 20 2019","Nov 02 2017","May 20 2019","SRA","1","Conditioned media","Homo sapiens","cell type: primary keratinocytes","ev population: Exosomes","","Epidermal primary keratinocytes (PKCs) were freshly isolated from donor skin and propagated on i3T3 feeder cells using the method of Rheinwald and Green. HaCaT cells were purchased from CLS Cell Lines Service GmbH (Eppenheim, Germany). All keratinocyte cultures were maintained at 37 oC in a 5% CO2 / 95% air atmosphere, with media changes every 2 days, and subcultured when the cultures became 80% confluent.","total RNA","Total RNA was extracted using the Trizol™ method following the manufacturer’s protocol","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","325_Ex","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the default parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalized and statistically analyzed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: Tab-delimited file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07967391","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3353431","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2837nnn/GSM2837769/suppl/GSM2837769_325_Ex.csv.gz",NA,"primary keratinocytes","Exosomes"
"GSM2837770","Primary keratinocytes (Cells) patient 366","GSM2837770","Public on May 20 2019","Nov 02 2017","May 20 2019","SRA","1","Cells","Homo sapiens","cell type: primary keratinocytes","ev population: Keratinocytes","","Epidermal primary keratinocytes (PKCs) were freshly isolated from donor skin and propagated on i3T3 feeder cells using the method of Rheinwald and Green. HaCaT cells were purchased from CLS Cell Lines Service GmbH (Eppenheim, Germany). All keratinocyte cultures were maintained at 37 oC in a 5% CO2 / 95% air atmosphere, with media changes every 2 days, and subcultured when the cultures became 80% confluent.","total RNA","Total RNA was extracted using the Trizol™ method following the manufacturer’s protocol","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","366_C","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the default parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalized and statistically analyzed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: Tab-delimited file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07967390","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3353432","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2837nnn/GSM2837770/suppl/GSM2837770_366_C.csv.gz",NA,"primary keratinocytes","Keratinocytes"
"GSM2837771","Primary keratinocytes (Apoptotic bodies) patient 366","GSM2837771","Public on May 20 2019","Nov 02 2017","May 20 2019","SRA","1","Conditioned media","Homo sapiens","cell type: primary keratinocytes","ev population: Apoptotic bodies","","Epidermal primary keratinocytes (PKCs) were freshly isolated from donor skin and propagated on i3T3 feeder cells using the method of Rheinwald and Green. HaCaT cells were purchased from CLS Cell Lines Service GmbH (Eppenheim, Germany). All keratinocyte cultures were maintained at 37 oC in a 5% CO2 / 95% air atmosphere, with media changes every 2 days, and subcultured when the cultures became 80% confluent.","total RNA","Total RNA was extracted using the Trizol™ method following the manufacturer’s protocol","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","366_Ap","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the default parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalized and statistically analyzed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: Tab-delimited file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07967389","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3353433","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2837nnn/GSM2837771/suppl/GSM2837771_366_Ap.csv.gz",NA,"primary keratinocytes","Apoptotic bodies"
"GSM2837772","Primary keratinocytes (Microvesicles) patient 366","GSM2837772","Public on May 20 2019","Nov 02 2017","May 20 2019","SRA","1","Conditioned media","Homo sapiens","cell type: primary keratinocytes","ev population: Microvesicles","","Epidermal primary keratinocytes (PKCs) were freshly isolated from donor skin and propagated on i3T3 feeder cells using the method of Rheinwald and Green. HaCaT cells were purchased from CLS Cell Lines Service GmbH (Eppenheim, Germany). All keratinocyte cultures were maintained at 37 oC in a 5% CO2 / 95% air atmosphere, with media changes every 2 days, and subcultured when the cultures became 80% confluent.","total RNA","Total RNA was extracted using the Trizol™ method following the manufacturer’s protocol","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","366_Mv","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the default parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalized and statistically analyzed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: Tab-delimited file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07967388","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3353434","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2837nnn/GSM2837772/suppl/GSM2837772_366_Mv.csv.gz",NA,"primary keratinocytes","Microvesicles"
"GSM2837773","Primary keratinocytes (Exosomes) patient 366","GSM2837773","Public on May 20 2019","Nov 02 2017","May 20 2019","SRA","1","Conditioned media","Homo sapiens","cell type: primary keratinocytes","ev population: Exosomes","","Epidermal primary keratinocytes (PKCs) were freshly isolated from donor skin and propagated on i3T3 feeder cells using the method of Rheinwald and Green. HaCaT cells were purchased from CLS Cell Lines Service GmbH (Eppenheim, Germany). All keratinocyte cultures were maintained at 37 oC in a 5% CO2 / 95% air atmosphere, with media changes every 2 days, and subcultured when the cultures became 80% confluent.","total RNA","Total RNA was extracted using the Trizol™ method following the manufacturer’s protocol","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","366_Ex","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the default parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalized and statistically analyzed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: Tab-delimited file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07967387","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3353435","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2837nnn/GSM2837773/suppl/GSM2837773_366_Ex.csv.gz",NA,"primary keratinocytes","Exosomes"
"GSM2837774","Primary keratinocytes (Cells) patient 377","GSM2837774","Public on May 20 2019","Nov 02 2017","May 20 2019","SRA","1","Cells","Homo sapiens","cell type: primary keratinocytes","ev population: Keratinocytes","","Epidermal primary keratinocytes (PKCs) were freshly isolated from donor skin and propagated on i3T3 feeder cells using the method of Rheinwald and Green. HaCaT cells were purchased from CLS Cell Lines Service GmbH (Eppenheim, Germany). All keratinocyte cultures were maintained at 37 oC in a 5% CO2 / 95% air atmosphere, with media changes every 2 days, and subcultured when the cultures became 80% confluent.","total RNA","Total RNA was extracted using the Trizol™ method following the manufacturer’s protocol","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","377_C","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the default parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalized and statistically analyzed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: Tab-delimited file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07967386","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3353436","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2837nnn/GSM2837774/suppl/GSM2837774_377_C.csv.gz",NA,"primary keratinocytes","Keratinocytes"
"GSM2837775","Primary keratinocytes (Apoptotic bodies) patient 377","GSM2837775","Public on May 20 2019","Nov 02 2017","May 20 2019","SRA","1","Conditioned media","Homo sapiens","cell type: primary keratinocytes","ev population: Apoptotic bodies","","Epidermal primary keratinocytes (PKCs) were freshly isolated from donor skin and propagated on i3T3 feeder cells using the method of Rheinwald and Green. HaCaT cells were purchased from CLS Cell Lines Service GmbH (Eppenheim, Germany). All keratinocyte cultures were maintained at 37 oC in a 5% CO2 / 95% air atmosphere, with media changes every 2 days, and subcultured when the cultures became 80% confluent.","total RNA","Total RNA was extracted using the Trizol™ method following the manufacturer’s protocol","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","377_Ap","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the default parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalized and statistically analyzed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: Tab-delimited file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07967385","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3353437","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2837nnn/GSM2837775/suppl/GSM2837775_377_Ap.csv.gz",NA,"primary keratinocytes","Apoptotic bodies"
"GSM2837776","Primary keratinocytes (Microvesicles) patient 377","GSM2837776","Public on May 20 2019","Nov 02 2017","May 20 2019","SRA","1","Conditioned media","Homo sapiens","cell type: primary keratinocytes","ev population: Microvesicles","","Epidermal primary keratinocytes (PKCs) were freshly isolated from donor skin and propagated on i3T3 feeder cells using the method of Rheinwald and Green. HaCaT cells were purchased from CLS Cell Lines Service GmbH (Eppenheim, Germany). All keratinocyte cultures were maintained at 37 oC in a 5% CO2 / 95% air atmosphere, with media changes every 2 days, and subcultured when the cultures became 80% confluent.","total RNA","Total RNA was extracted using the Trizol™ method following the manufacturer’s protocol","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","377_Mv","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the default parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalized and statistically analyzed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: Tab-delimited file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07967380","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3353438","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2837nnn/GSM2837776/suppl/GSM2837776_377_Mv.csv.gz",NA,"primary keratinocytes","Microvesicles"
"GSM2837777","Primary keratinocytes (Exosomes) patient 377","GSM2837777","Public on May 20 2019","Nov 02 2017","May 20 2019","SRA","1","Conditioned media","Homo sapiens","cell type: primary keratinocytes","ev population: Exosomes","","Epidermal primary keratinocytes (PKCs) were freshly isolated from donor skin and propagated on i3T3 feeder cells using the method of Rheinwald and Green. HaCaT cells were purchased from CLS Cell Lines Service GmbH (Eppenheim, Germany). All keratinocyte cultures were maintained at 37 oC in a 5% CO2 / 95% air atmosphere, with media changes every 2 days, and subcultured when the cultures became 80% confluent.","total RNA","Total RNA was extracted using the Trizol™ method following the manufacturer’s protocol","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","377_Ex","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the default parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalized and statistically analyzed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: Tab-delimited file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN07967379","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3353439","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2837nnn/GSM2837777/suppl/GSM2837777_377_Ex.csv.gz",NA,"primary keratinocytes","Exosomes"
