"","GSM3124520","GSM3124521","GSM3124522","GSM3124523","GSM3124524","GSM3124525","GSM3124526","GSM3124527","GSM3124528","GSM3124529","GSM3124530","GSM3124531","GSM3124532","GSM3124533","GSM3124534","GSM3124535","GSM3124536","GSM3124537","GSM3124538","GSM3124539","GSM3124540","GSM3124541","GSM3124542","GSM3124543","GSM3124544","GSM3124545","GSM3124546","GSM3124547","GSM3124548","GSM3124549","GSM3124550","GSM3124551","GSM3124552","GSM3124553","GSM3124554","GSM3124555","GSM3124556","GSM3124557","GSM3124558","GSM3124559"
"hsa-miR-299-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-2.762,-1.339,-2.251,-2.101,-3.304,-2.014,-2.465,-2.054,-2.141,-2.054,-2.527,-2.495,-2.295,-2.622,-2.037,-2.034,-2.13,-1.749,-3.322,-1.346,-1.638,-2.836,-1.992,-2.682,-2.094
"hsa-miR-301a-5p",-2.471,-2.868,-2.488,-2.62,-3.021,-3.322,-3.272,-3.322,-3.208,-2.813,-2.71,-3.076,-2.731,-3.322,-2.497,-3.322,-1.672,-3.044,-3.322,-3.322,-3.322,-3.322,-3.315,-3.322,-2.523,-3.115,-3.131,-2.775,-2.86,-3.026,-3.322,-3.322,-3.322,-3.322,-2.89,-3.322,-3.306,-3.322,-3.322,-3.322
"hsa-miR-301a-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-2.57,-3.322,-3.016,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-99b-5p",-3.219,-3.226,-3.322,-3.322,-3.322,-3.322,-3.042,-3.322,-3.234,-2.225,-3.322,-2.286,-3.322,-3.322,-2.719,-2.416,-2.228,-2.995,-2.226,-1.986,-1.575,-1.465,-1.62,-2.549,-2.421,-1.809,-2.565,-2.298,-1.62,-2.132,-2.426,-2.263,-1.327,-1.458,-2.242,-2.987,-2.616,-2.92,-2.61,-3.031
"hsa-miR-99b-3p",1.503,1.672,1.162,1.345,1.221,1.779,1.523,2.614,0.96,0.744,1.595,1.263,1.428,1.555,1.327,-2.023,-1.94,-2.203,-1.785,-1.871,-2.11,-1.802,-2.368,-1.999,-2.459,-1.463,-1.981,-2.087,-1.761,-1.899,-1.967,-1.825,-0.99,-0.956,-2.204,-2.641,-1.616,-1.648,-1.857,-2.498
"hsa-miR-296-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-1.97,-3.322,-3.322,-3.108,-3.322,-3.322,-3.322,-2.6
"hsa-miR-296-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.138,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.188
"hsa-miR-130b-5p",-0.111,0.014,-0.438,-0.726,-1.553,-0.578,-0.848,0.115,-0.945,-0.575,-0.565,-0.522,-0.45,-0.525,-1.048,-2.004,-3.184,-2.565,-2.049,-2.17,-2.219,-2.203,-1.781,-1.775,-1.387,-1.64,-1.728,-1.604,-1.755,-1.776,-2.105,-1.554,-3.267,-1.817,-2.322,-2.263,-1.984,-1.846,-1.937,-1.988
"hsa-miR-130b-3p",-3.322,-3.322,-3.186,-3.17,-3.248,-3.112,-3.322,-3.322,-3.138,-3.322,-3.322,-2.768,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-2.777,-3.322,-3.007,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-30e-5p",-1.93,-2.373,-1.943,-1.537,-2.582,-1.689,-2.253,-3.322,-1.306,-1.506,-2.594,-1.85,-2.07,-2.188,-2,-1.349,-2.406,-1.854,-1.208,-0.981,-0.603,-0.456,-0.269,-0.308,-1.187,-0.027,-0.136,-0.148,0.143,-0.251,0.609,0.689,-1.848,-0.64,-1.505,-2.509,-1.492,-0.585,-1.738,-1.894
"hsa-miR-30e-3p",-1.759,-2.135,-2.041,-2.139,-2.301,-1.961,-1.996,-2.078,-2.792,-2.194,-2.082,-1.845,-1.991,-2.113,-2.206,-1.869,-2.65,-1.74,-2.306,-1.826,-1.743,-1.763,-1.7,-1.916,-1.863,-1.817,-1.754,-1.551,-1.724,-1.821,-1.38,-1.492,-1.277,-1.311,-1.536,-1.791,-1.763,-1.691,-1.799,-1.352
"hsa-miR-26a-2-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-2.16,-3.322,-2.753,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-361-5p",-1.176,-1.129,-1.253,-0.937,-0.809,-0.292,-1.076,-1.221,-0.858,-0.343,-0.97,-0.833,-0.911,-0.731,-0.995,-3.322,-3.263,-2.769,-2.441,-2.893,-2.42,-2.316,-2.366,-2.568,-2.384,-2.593,-2.304,-2.527,-2.698,-2.572,-2.554,-2.298,-3.042,-2.503,-2.867,-3.072,-2.75,-2.549,-2.782,-2.273
"hsa-miR-361-3p",-2.253,-2.33,-3.322,-3.322,-2.983,-2.044,-2.611,-3.092,-3.322,-2.378,-3.06,-3.25,-3.274,-3.037,-3.171,-1.121,-1.389,-1.108,-0.667,-1.146,-1.354,-1.781,-1.518,-1.34,-1.644,-1.345,-1.482,-1.356,-1.396,-1.597,-1.467,-1.323,1.19,-0.145,-0.378,-0.456,-1.065,-0.894,-1.017,0.291
"hsa-miR-362-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-362-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-363-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-363-3p",-1.388,-1.391,-1.021,-1.149,-1.962,-1.324,-1.663,-2.429,-2.4,-1.338,-1.678,-1.24,-1.95,-1.992,-1.944,-3.322,-3.322,-2.581,-2.684,-2.721,-2.773,-2.212,-2.009,-2.535,-1.998,-2.949,-2.363,-2.42,-2.097,-2.885,-2.345,-1.826,-3.322,-2.219,-3.322,-3.322,-2.708,-2.141,-2.471,-2.558
"hsa-miR-302b-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-302b-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-302c-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-1.669,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-302c-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-302d-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-302d-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-367-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-367-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-376c-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-2.605,-1.323,-3.322,-2.747,-3.322,-2.544,-2.355,-3.159,-3.322,-3.322,-3.322,-3.322,-3.206,-3.322,-3.322,-3.322,-3.322,-1.827,-3.322,-3.322,-2.445,-3.156,-3.322,-3.322,-3.322
"hsa-miR-369-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-369-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-370-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-371a-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-2.271,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-371a-3p",2.365,2.136,0.915,1.158,1.544,0.542,1.238,0.518,0.89,2.418,1.301,0.842,1.567,1.386,1.818,3.29,3.565,3.667,3.25,2.721,2.333,2.249,2.114,3.853,3.208,3.398,3.753,3.545,3.555,3.941,3.864,3.455,3.639,1.705,4.062,4.231,1.227,3.656,2.31,3.313
"hsa-miR-372-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-2.926,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.295,-2.753,-2.418,-2.138,-3.322,-2.891,-2.277,-3.322,-2.529,-3.322,-2.077
"hsa-miR-373-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-2.256,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-373-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-374a-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.084,-3.322,-3.322,-3.322,-2.889,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-2.374,-3.322,-3.322,-3.153,-3.322,-3.322,-3.322,-2.413,-3.322,-3.322
"hsa-miR-374a-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-2.861,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-375-3p",-2.274,-1.997,-1.743,-2.615,-3.322,-2.379,-3.322,-2.736,-1.79,-2.492,-2.882,-2.563,-2.822,-3.322,-2.816,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-376a-5p",-1.11,-1.509,-0.932,-1.464,-1.654,-1.857,-1.04,-2.138,-1.916,-1.747,-1.259,-1.242,-1.339,-0.965,-2.451,-3.104,-3.322,-2.83,-3.322,-3.012,-3.064,-3.322,-3.04,-3.007,-3.012,-3.022,-3.123,-3.29,-3.033,-3.002,-2.578,-2.346,-2.16,-2.735,-2.995,-3.119,-2.724,-2.293,-2.983,-1.743
"hsa-miR-376a-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-377-5p",-0.586,-0.811,-1.452,-1.406,-1.426,-1.083,-1.117,-0.92,-2.386,-1.65,-1.359,-1.055,-1.145,-0.856,-2.243,-2.879,-3.322,-3.039,-3.283,-3.032,-3.105,-3.322,-3.145,-3.322,-3.259,-3.322,-3.03,-3.322,-3.106,-3.158,-3.224,-2.75,-2.31,-2.53,-3.306,-2.292,-2.563,-2.743,-2.97,-1.694
"hsa-miR-377-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-378a-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-378a-3p",0.847,1.23,1.797,1.682,2.086,2.439,1.862,1.696,2.364,1.711,1.328,2.046,1.607,1.045,2.152,4.073,4.791,4.005,4.309,3.874,3.98,4.465,3.982,3.634,4.215,3.611,3.179,2.732,3.371,3.902,3.345,3.468,3.641,2.502,4.762,4.447,3.615,3.832,3.752,3.649
"hsa-miR-379-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.084,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-379-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-380-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-380-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.241,-3.322,-3.322,-3.322,-3.322
"hsa-miR-381-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-382-5p",0.821,1.248,1.744,1.192,0.338,1.016,0.469,2.436,0.721,0.063,1.159,1.157,0.977,1.248,0.869,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-2.849,-3.322,-2.607,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-382-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-2.81,-2.69,-2.933,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.166,-2.263
"hsa-miR-383-5p",-0.984,-0.962,-1.043,-1.098,-0.344,-0.925,-0.379,-0.12,-1.602,-1.129,-1.179,-1.201,-0.673,-0.355,-0.933,-3.319,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-2.663,-3.322,-3.322,-3.322,-3.322,-3.215,-3.322
"hsa-miR-340-5p",-0.857,-0.688,-0.377,-0.811,-0.581,-0.405,-1.143,-1.103,-0.226,-0.158,-0.488,-0.646,-0.602,-0.289,-1.139,-1.796,0.051,-2.08,-2.101,-1.777,-2.177,-1.595,-1.483,-1.694,-1.522,-1.88,-1.65,-1.549,-1.685,-1.642,-1.269,-1.101,-1.221,-1.436,-1.45,-1.702,-1.865,-1.647,-1.963,-1.796
"hsa-miR-340-3p",1.817,1.459,0.163,0.158,0.691,1.361,1.465,0.79,-0.084,1.401,0.81,0.596,0.922,1.104,0.419,3.164,3.561,3.191,3.254,3.053,2.951,2.741,2.835,2.966,2.663,2.811,2.755,2.809,2.795,3.169,3.514,3.305,4.729,3.015,4.026,3.314,3.283,3.777,3.376,4.452
"hsa-miR-330-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-330-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-2.162,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-328-3p",-1.781,-1.864,-3.303,-3.162,-2.481,-1.582,-1.776,-2.452,-2.82,-1.055,-2.724,-2.386,-2.457,-2.717,-1.506,-0.111,-0.645,0.004,0.067,0.094,-0.255,-0.502,-0.265,-0.611,-0.472,-0.114,-0.259,-0.53,-0.203,-0.617,-1.584,-1.862,-1.195,0.002,-1.109,-0.272,-0.159,-1.575,-0.325,-2.172
"hsa-miR-342-5p",0.511,0.613,0.37,0.634,-0.867,0.512,0.261,1.351,-0.23,-1.306,0.437,0.194,0.078,-0.346,0.099,-2.984,-3.322,-3.322,-3.322,-3.131,-2.677,-2.78,-2.709,-2.349,-2.369,-2.346,-2.565,-2.077,-1.93,-2.114,-2.046,-1.887,-3.322,-2.855,-3.322,-3.322,-3.099,-2.052,-3.322,-3.31
"hsa-miR-342-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-2.862,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.309,-3.322,-3.322,-3.322,-2.281,-3.322,-3.322
"hsa-miR-337-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.162,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-337-3p",2.571,2.5,1.894,2.26,2.678,2.358,2.082,1.806,1.88,2.248,2.088,1.697,2.254,1.936,2.424,5.125,5.236,5.281,5.474,5.141,4.529,4.424,4.442,4.757,4.617,4.723,4.834,4.67,4.525,4.965,4.632,4.508,4.529,5.652,5.3,4.939,5.38,4.923,5.166,4.918
"hsa-miR-323a-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-323a-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-326",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-151a-5p",-3.023,-3.126,-1.699,-2.47,-1.601,-1.399,-2.056,-1.536,0.086,-0.637,-1.628,-2.151,-1.91,-2.446,-0.213,-0.172,2.092,-0.055,-0.101,0.257,1.096,0.478,0.016,0.062,0.215,-0.471,-0.011,-0.022,0.006,0.225,-0.798,-1.741,1.756,-0.436,1.294,0.875,-0.949,-0.216,-0.539,-1.338
