"","GSM4118113","GSM4118114","GSM4118115","GSM4118116","GSM4118117","GSM4118118","GSM4118119","GSM4118120","GSM4118121","GSM4118122","GSM4118123","GSM4118124","GSM4118125","GSM4118126","GSM4118127","GSM4118128","GSM4118129","GSM4118130","GSM4118131","GSM4118132","GSM4118133","GSM4118134","GSM4118135","GSM4118136","GSM4118137","GSM4118138","GSM4118139","GSM4118140","GSM4118141","GSM4118142","GSM4118143","GSM4118144","GSM4118145","GSM4118146","GSM4118147","GSM4118148","GSM4118149","GSM4118150","GSM4118151","GSM4118152","GSM4118153","GSM4118154","GSM4118155","GSM4118156","GSM4118157","GSM4118158","GSM4118159","GSM4118160","GSM4118161","GSM4118162","GSM4118163","GSM4118164","GSM4118165","GSM4118166","GSM4118167","GSM4118168","GSM4118169","GSM4118170","GSM4118171","GSM4118172","GSM4118173","GSM4118174","GSM4118175","GSM4118176","GSM4118177","GSM4118178","GSM4118179","GSM4118180","GSM4118181","GSM4118182","GSM4118183","GSM4118184","GSM4118185","GSM4118186","GSM4118187","GSM4118188","GSM4118189","GSM4118190","GSM4118191","GSM4118192","GSM4118193","GSM4118194","GSM4118195","GSM4118196","GSM4118197","GSM4118198","GSM4118199","GSM4118200","GSM4118201","GSM4118202","GSM4118203","GSM4118204","GSM4118205","GSM4118206","GSM4118207","GSM4118208","GSM4118209","GSM4118210","GSM4118211","GSM4118212","GSM4118213","GSM4118214","GSM4118215","GSM4118216","GSM4118217","GSM4118218","GSM4118219","GSM4118220","GSM4118221","GSM4118222","GSM4118223","GSM4118224","GSM4118225","GSM4118226","GSM4118227","GSM4118228","GSM4118229","GSM4118230","GSM4118231","GSM4118232","GSM4118233","GSM4118234","GSM4118235","GSM4118236","GSM4118237","GSM4118238","GSM4118239","GSM4118240","GSM4118241","GSM4118242","GSM4118243","GSM4118244","GSM4118245","GSM4118246","GSM4118247","GSM4118248","GSM4118249","GSM4118250","GSM4118251","GSM4118252","GSM4118253","GSM4118254","GSM4118255","GSM4118256","GSM4118257","GSM4118258","GSM4118259","GSM4118260","GSM4118261","GSM4118262","GSM4118263","GSM4118264","GSM4118265","GSM4118266","GSM4118267","GSM4118268","GSM4118269","GSM4118270","GSM4118271","GSM4118272","GSM4118273","GSM4118274","GSM4118275","GSM4118276","GSM4118277","GSM4118278","GSM4118279","GSM4118280","GSM4118281","GSM4118282","GSM4118283","GSM4118284","GSM4118285","GSM4118286","GSM4118287","GSM4118288","GSM4118289","GSM4118290","GSM4118291","GSM4118292","GSM4118293","GSM4118294","GSM4118295","GSM4118296","GSM4118297","GSM4118298","GSM4118299","GSM4118300","GSM4118301","GSM4118302","GSM4118303","GSM4118304","GSM4118305","GSM4118306","GSM4118307","GSM4118308","GSM4118309","GSM4118310","GSM4118311","GSM4118312","GSM4118313","GSM4118314","GSM4118315","GSM4118316","GSM4118317","GSM4118318","GSM4118319","GSM4118320","GSM4118321","GSM4118322","GSM4118323","GSM4118324","GSM4118325","GSM4118326","GSM4118327","GSM4118328","GSM4118329","GSM4118330","GSM4118331","GSM4118332","GSM4118333","GSM4118334","GSM4118335","GSM4118336","GSM4118337","GSM4118338","GSM4118339","GSM4118340","GSM4118341","GSM4118342","GSM4118343","GSM4118344","GSM4118345","GSM4118346","GSM4118347"
"hsa-miR-185-3p",1.62307,0.50886,1.5192,1.59147,0.42647,0.78318,1.13306,0.77964,0.86543,1.54176,0.925,0.75354,1.4838,3.9632,0.73901,0.24269,0.63303,3.78835,0.6413,1.2051,1.09642,0.47824,0.54864,1.36047,0.47703,0.68524,0.59775,1.00009,-0.02341,0.61633,0.91323,0.97346,0.6085,1.77388,0.50045,0.68245,0.57603,2.22517,0.65805,1.32482,2.53141,0.15784,0.63858,-0.00708,0.50515,0.53264,2.29117,0.342,1.18708,1.246,0.49598,1.2316,0.19646,2.18655,1.16911,1.6103,0.40529,0.9677,0.7409,0.98487,0.48619,0.561,0.41333,0.88091,0.48403,0.45106,1.24524,0.27193,1.77467,0.62457,0.70686,1.17726,0.67744,0.53773,0.4566,0.37683,0.84802,0.29702,0.4138,1.19827,1.01686,1.14141,0.78872,2.17002,0.55969,0.67581,0.5565,0.70098,0.75296,0.74206,0.9965,0.57431,1.03534,0.71921,0.34469,0.93503,0.39596,0.45317,1.0983,0.33674,0.21672,0.57319,0.94986,0.85901,0.60877,0.79054,0.39509,0.55038,0.4422,1.44398,0.70387,0.54556,0.71637,1.03889,0.48475,0.01409,0.60434,0.36849,-0.08702,0.31749,1.04508,0.11514,0.28382,1.19884,0.27377,0.66559,0.97085,0.47039,-0.32814,0.77018,5.48605,0.36083,4.77395,1.25115,0.32678,0.53893,2.00116,0.53922,0.89486,0.53203,0.44883,0.77493,0.43391,0.6076,2.18646,0.24396,0.45127,0.74739,1.2623,1.52586,0.37307,1.41628,0.66995,1.38253,0.78409,0.33094,0.50871,0.84106,1.14796,0.63926,0.45457,0.50137,0.4574,2.59995,0.62707,0.70181,0.70375,0.80026,0.48562,3.79725,0.38261,1.41571,0.18588,0.51049,0.53438,0.64372,0.50678,0.26731,0.04165,0.21518,0.63703,0.22251,0.87328,0.072,0.83423,0.52242,0.85818,0.91246,1.06984,0.27449,0.1883,0.24533,0.37722,0.8579,-0.03985,0.66635,0.68709,0.667,1.04531,2.11349,0.81493,0.3895,0.50225,0.69404,0.89262,2.5681,5.19517,5.50731,-0.44281,-0.22055,1.05442,0.67852,0.44345,2.70876,0.80786,4.17326,1.05832,0.47626,1.06862,0.89257,0.67753,0.94416,0.67894,1.27275,1.03272,0.9344,0.30042,0.91534,2.6897,1.09824,0.41796,1.39183,1.04582,0.80866,1.48488
"hsa-miR-25-5p",1.92815,0.60368,1.31616,0.60259,0.66745,0.83865,0.58314,1.12824,0.59696,2.35516,0.66736,1.0483,0.44652,2.35021,0.57982,0.60599,1.05693,1.07645,0.78685,1.9081,0.5929,0.70568,0.87566,0.8396,0.29532,0.68365,1.05148,0.70943,-0.01737,1.17737,0.65549,1.15314,0.68501,2.46379,0.88843,1.20924,0.58455,1.35839,0.4118,0.81886,1.24181,0.09387,0.97868,0.32885,0.85558,0.65185,1.619,1.5207,0.89079,1.25973,0.58926,1.46126,0.23301,1.05425,1.50542,1.27397,0.40562,1.22358,1.54867,0.65951,0.63566,0.88755,0.89161,0.77502,0.6371,0.57584,1.63106,0.35578,2.60578,0.84275,0.62132,0.87578,0.76285,0.87317,0.63194,-0.02662,0.68981,0.47593,0.77827,1.1295,1.00287,1.01201,1.13598,0.9789,0.90203,1.45635,0.87567,1.04619,0.96847,0.46994,0.91672,0.89454,2.27448,0.8534,0.28556,0.69243,0.74706,0.24307,0.97774,0.65651,0.26004,0.73769,0.98088,1.01537,1.47744,0.59679,0.52613,0.56034,0.94166,1.02544,0.94265,0.98736,1.23796,1.07023,0.37763,1.17661,0.86638,0.36849,0.33322,0.49418,0.86825,0.4796,0.32681,0.87794,0.55894,0.26355,0.74759,0.5137,-0.49188,1.79194,1.18058,0.261,0.87907,1.06444,0.47749,0.49218,0.89352,0.49426,1.04097,0.70215,0.66413,0.82448,1.14582,2.14319,0.64771,0.7845,0.91189,0.82357,1.3379,1.48397,0.507,1.23203,1.73885,1.9667,1.25626,0.62355,1.91294,1.01718,1.24401,0.8439,0.41824,1.69797,0.47931,1.63225,1.55064,0.80759,0.32589,0.52207,0.4328,1.98561,1.16381,1.05347,0.36442,0.6612,0.63345,1.59704,0.52731,1.54886,-0.20371,0.40723,1.11555,-0.1767,0.62278,-0.06178,1.13189,0.36045,0.85967,0.35865,0.89234,0.08371,0.75596,2.04807,0.48816,0.49213,-0.09064,0.65986,1.48969,0.56624,0.88393,0.88236,0.09782,0.35647,0.61289,1.20345,0.76335,0.69781,0.49183,2.08701,-0.4961,-0.21059,1.67225,0.6322,0.22109,1.53353,0.4749,1.08252,1.04923,1.07796,0.88345,0.42735,0.83981,1.11271,1.27493,1.72761,0.91437,1.91647,0.438,0.41946,0.89503,1.20328,0.62956,0.47667,1.06296,1.19043,2.60691
"hsa-miR-186-3p",1.66465,0.33,1.22949,0.84954,1.33813,1.01497,0.66526,0.84653,1.0629,0.98266,1.01282,1.1363,0.90537,1.0069,0.59997,0.65274,0.87721,0.93855,1.39683,1.31153,2.25722,0.66219,0.24512,0.8717,0.58736,1.28109,0.97158,0.28357,0.55417,1.21925,1.60172,1.58043,1.096,1.72176,0.66367,1.05297,0.61799,1.02536,0.85402,0.58506,1.40539,0.19302,0.9285,0.34967,0.84569,1.09923,2.05774,1.36772,1.18101,1.08848,0.53116,1.34843,0.18474,1.23351,1.72922,1.46193,0.49808,1.11965,1.38917,0.82595,0.37599,1.20475,0.57683,1.13256,0.35317,0.52413,1.24651,1.01102,2.07176,1.08869,0.76331,1.49232,0.76285,1.16473,0.69339,0.72476,0.73691,0.40312,0.86893,0.93755,0.79879,0.981,1.26902,1.02566,1.29324,1.23853,0.62217,0.93307,0.77455,0.75414,0.75342,0.79436,1.58619,1.46132,0.64826,1.02749,0.74533,0.83835,1.60332,1.10147,0.40438,0.78716,1.53679,1.55057,0.75435,0.39133,0.54204,0.5586,1.01431,1.15336,0.41417,1.01775,0.75762,1.11027,0.90941,1.31109,1.01146,1.05581,0.33652,0.73242,0.57821,0.39702,0.48043,0.99508,0.19446,0.54508,0.50052,0.3608,0.31136,1.47089,1.04268,1.10424,0.64212,0.70818,0.17251,0.38761,0.46852,0.80478,0.6064,1.11308,1.21957,1.45975,0.92193,1.12815,0.78912,0.99761,0.64874,0.51888,1.26802,1.40509,0.74243,1.12017,0.51738,2.22494,0.81804,0.55829,0.80645,0.88264,0.89162,0.4111,0.53913,0.57413,0.34744,1.3518,1.56128,0.61556,1.21738,1.15691,1.35309,0.57513,0.79015,0.45809,-0.15354,0.34208,0.56426,1.01899,0.47867,0.57721,-0.2097,0.13587,0.62895,0.11257,0.76334,0.05452,0.85337,0.70922,0.57843,0.4054,0.65287,0.47087,0.29193,0.24133,0.65048,1.12291,-0.1999,0.84608,0.76016,0.71703,1.14208,1.55861,0.03329,0.36877,1.03081,1.91011,0.58268,0.37608,0.86315,1.11449,-0.44806,0.03023,1.36852,2.01591,0.13534,1.08266,0.36246,0.88319,1.25548,1.4868,0.79144,0.67621,0.91246,0.57048,0.54825,0.69441,0.79754,0.92077,0.62446,0.65217,1.20278,0.72322,0.65739,0.96066,1.10331,1.06918,0.83499
"hsa-miR-211-5p",1.38179,0.33374,1.55063,1.3027,0.89794,0.71071,0.661,1.4908,0.82874,1.83904,0.77399,1.79699,0.83626,1.06812,0.80822,0.52241,0.68039,1.61371,1.22612,0.82885,1.22644,0.59386,0.42807,1.07341,0.18039,1.0846,0.73209,1.26042,0.15117,1.29321,0.96255,1.05374,0.61756,1.46236,0.72902,1.15997,0.69118,1.53908,0.71834,1.15639,1.22593,0.27776,0.85117,0.28831,0.66902,0.79217,1.60335,0.94994,1.50245,1.84747,0.50504,1.29428,0.0597,1.71612,1.35815,1.26665,0.4074,1.10578,1.23756,0.81636,0.74083,0.84872,0.84013,0.78485,0.60609,0.68408,1.72705,0.52592,2.30695,1.56029,0.85902,1.0878,0.71734,0.8888,0.72498,0.94925,0.46037,0.38743,0.60806,1.26753,1.14309,1.01211,1.22317,0.3695,1.72872,0.729,0.58092,1.13962,0.87997,0.71805,1.52519,0.35384,2.25883,0.70131,0.48955,1.15861,0.55686,0.52716,0.71484,1.35554,0.12633,0.89059,0.96499,1.1282,1.00086,0.74388,0.57422,0.89262,0.22142,1.0296,0.28013,1.11862,1.2101,0.73295,0.69735,1.27677,0.57547,0.60185,0.03456,1.03742,0.88338,0.77743,0.1602,0.29481,0.31734,0.77374,0.6591,0.25437,-0.1229,1.02436,1.242,0.54525,0.65725,0.72743,0.43352,0.41871,1.04974,0.92032,1.26943,0.64293,0.85329,0.7419,1.50438,0.96738,0.32234,1.67801,0.67984,0.3166,1.4037,1.35107,0.8199,0.73243,0.70897,1.13484,0.70078,0.62364,0.73504,0.70952,1.04915,1.8311,0.37574,0.38746,0.5946,1.2457,1.08539,0.97485,0.61192,1.37026,1.28704,0.61422,0.42643,0.69328,0.20537,0.73906,0.69746,0.98325,0.39037,0.26123,-0.22584,0.55222,1.14665,0.06707,1.14544,-0.00787,0.56731,0.5712,0.73277,0.92792,0.82702,0.53662,0.34036,0.59317,1.19049,2.0236,-0.06623,1.109,1.38265,0.59198,0.94526,0.78118,0.3124,0.29144,0.94405,1.18364,0.91711,0.6325,1.14228,1.10434,-0.36945,-0.14658,1.4911,0.75478,0.04288,1.05576,0.72391,0.79643,0.66864,1.06231,0.64438,1.65252,0.54332,0.79835,0.85601,0.5863,1.44577,1.19445,0.75755,0.70916,0.86818,1.16029,0.55129,0.50108,0.91689,0.73013,0.84587
"hsa-let-7d-3p",1.96895,0.30396,1.4962,0.30116,1.25098,1.38423,0.89371,0.98552,0.85409,1.08128,0.58346,1.46312,1.0442,1.82191,1.59952,0.30695,0.77437,1.60955,1.11912,1.15997,0.8883,0.78568,0.52205,0.64065,0.75818,0.56472,1.60621,1.00851,0.23748,1.13559,0.18208,1.50233,0.82936,1.78596,1.09989,0.94728,0.86257,1.07572,0.57101,1.6124,0.8517,0.45934,0.90041,0.32222,1.07152,0.62083,1.53983,0.7061,0.63944,0.59876,0.69784,1.6881,0.00301,0.97166,1.69007,1.13949,0.47126,0.85039,0.58925,0.81636,0.89592,0.84456,0.91288,0.74401,0.6469,0.39787,1.68859,0.74738,1.96412,1.04744,0.76044,0.85923,1.09004,1.34457,1.21113,0.37401,1.17763,0.53245,0.58021,1.36151,0.69979,1.18222,0.9257,0.76959,1.29201,1.41356,0.70047,1.14154,0.53487,0.6966,1.3138,1.25208,1.03246,1.36887,0.91347,0.77999,1.10271,0.94862,0.74811,0.51405,0.34797,0.54858,1.23262,1.08274,1.04963,0.73079,0.62954,1.14986,0.73759,1.42703,0.25825,1.31433,1.14951,1.01906,0.87835,0.59849,0.76047,0.97177,-0.01091,0.53499,1.24581,1.23982,1.0838,0.33561,0.32069,0.84353,0.92539,0.60537,-0.05854,1.03278,1.88348,0.56742,1.29069,0.53153,0.12019,0.17804,0.56811,0.547,1.0696,0.54779,0.53636,0.99753,0.62532,0.76232,0.70498,0.86132,0.40487,0.79581,1.2508,1.20022,0.58383,1.38842,0.42818,1.35629,0.5185,1.29442,0.74474,0.55603,0.80758,1.54436,0.25574,0.51899,0.3901,1.22554,1.14975,0.91426,0.76204,0.90967,0.8401,0.71159,0.34039,1.24967,0.1599,0.12851,0.52867,1.80781,0.89645,0.60725,-0.26418,0.29348,0.58083,0.45837,0.92637,-0.14815,1.02066,0.4209,0.56341,0.44621,1.05002,0.40628,0.33185,0.32909,0.64871,0.77463,-0.09139,0.33537,1.37849,0.50097,0.7963,1.10448,0.2462,0.48108,1.19675,0.87814,1.13089,0.53387,1.9142,1.25656,-0.56999,-0.17011,1.26569,1.54509,0.24246,1.10096,0.6996,0.82178,0.37194,0.56313,0.8341,1.23127,0.45771,0.94449,1.04434,0.98445,0.54566,1.14898,0.54467,0.68901,0.9631,1.29897,0.55129,0.87146,1.08662,1.17028,0.82572
"hsa-miR-9-3p",1.70041,0.51249,0.72831,0.3599,1.20002,0.75001,1.18084,0.78788,0.65147,1.40214,1.36499,1.09505,0.78664,1.06812,0.57174,0.36733,0.57054,2.04134,1.15984,1.28347,1.03941,1.07129,0.34252,0.69939,0.56964,1.02505,0.98439,1.24859,0.15421,1.2434,1.77801,1.20989,0.77529,1.75286,0.96647,1.05297,0.65304,1.08347,0.60824,0.64335,0.98039,0.45817,1.1951,0.36769,1.01694,0.69784,1.63612,1.46897,0.83426,1.49004,0.80847,1.38189,0.63794,0.83464,1.94907,1.32073,0.50516,0.95622,1.58356,1.25659,1.11784,0.77552,0.90101,1.11277,0.49791,1.03103,1.19959,0.91243,2.15896,0.69109,0.72087,1.58285,0.92352,0.91992,0.93758,0.59992,0.74638,0.53226,1.15897,1.43526,1.18638,1.42118,1.21571,1.07311,1.35737,0.98506,0.58092,1.25684,1.08543,0.84161,1.06302,0.28138,0.97286,1.4469,1.01166,0.63421,0.49608,0.84455,1.23005,0.92828,0.46983,0.80215,0.88277,1.19469,1.18961,0.73744,0.23175,1.01514,0.42027,1.32065,0.9777,1.18707,0.8812,1.2687,0.76025,0.91621,1.05892,0.17455,0.23511,0.64551,0.96779,0.87039,0.70845,0.37284,0.49185,1.13938,0.8309,0.60518,-0.22849,1.47614,1.44564,0.59076,0.85872,1.19415,0.28479,0.47183,0.46197,0.79823,1.3848,1.11308,0.74114,0.68456,1.17347,1.2243,0.60791,1.3351,0.77194,0.25705,1.27413,1.19256,0.54982,0.67525,0.73468,0.95629,0.6285,0.67057,0.95851,0.50283,0.51884,0.70398,0.7563,0.21403,0.48123,1.0276,0.82227,0.65825,1.05783,0.3042,0.81461,0.33016,0.42227,1.39469,0.20537,0.35658,1.16049,0.8992,0.58182,0.47579,-0.10295,0.76482,0.34309,0.02289,0.36434,0.07168,0.68018,0.63411,0.6597,0.59233,0.76412,0.38396,0.42477,0.18268,1.16153,0.74914,-0.21535,0.51076,0.70151,0.64598,0.91795,0.25475,0.14806,0.38803,1.29812,1.26168,0.76445,0.41725,0.89891,1.02759,-0.43954,-0.17657,1.26243,1.18599,-0.00658,0.91922,0.25483,1.08001,1.04792,0.94596,0.7288,1.02695,0.62136,0.8925,0.75731,0.67702,1.30581,1.12735,0.37023,0.66351,1.25972,0.87055,0.78064,0.7778,1.09327,1.05048,0.76425
"hsa-miR-149-5p",1.64339,0.72632,1.24513,1.27364,1.20565,0.94332,0.9304,0.74043,0.71711,1.11218,0.56677,1.2444,0.91472,1.27204,0.76403,1.03769,1.01223,0.93869,0.98274,1.37785,0.95117,0.56973,0.35152,1.03339,0.65379,1.47272,0.81222,0.6721,0.73808,0.87109,0.37456,1.26276,0.78091,1.79923,0.67302,0.84289,0.536,1.00646,0.90825,1.40563,0.88636,0.007,0.39848,0.29187,0.62753,0.79406,1.76102,1.23794,0.69389,2.30587,0.6494,1.08613,0.05746,1.39815,1.46071,0.95742,0.36327,0.69054,0.67228,0.39323,0.92682,0.76138,0.63091,0.90123,0.64075,0.91669,1.68334,0.48249,2.00744,1.88258,0.68419,1.0318,0.69195,0.50041,0.44356,0.54187,0.73582,0.39291,0.50299,1.08157,0.84888,1.01566,1.17904,0.95268,1.01005,0.99339,0.61557,1.02129,1.1807,0.76205,0.85054,0.72001,0.69,0.90016,0.44635,0.89771,0.79934,0.66372,0.70373,0.71664,0.2517,0.81946,0.90984,1.1033,1.06636,0.66509,0.32855,0.69541,0.52202,1.06009,0.48441,0.76611,0.96607,1.33434,0.90974,1.25187,1.10673,0.50353,0.12391,0.28651,0.83092,0.82294,0.49301,1.21916,0.31454,0.35924,0.7655,0.49071,-0.19383,0.7555,0.83397,0.32113,0.60209,0.6901,0.39453,0.89341,0.79946,0.65866,0.90878,0.75014,0.81956,0.56151,0.36086,1.13682,0.81074,0.84733,0.62384,0.88782,1.09422,1.04488,0.76474,1.37018,0.42492,1.43932,0.50133,0.62719,1.15936,0.44581,2.05843,0.5313,0.98803,0.34193,0.82728,1.20837,2.27067,1.67798,0.73233,0.70388,0.76867,1.05201,0.88911,1.45451,0.64921,0.30083,0.26965,1.34368,0.44909,1.46584,-0.0916,0.15749,0.55112,0.23476,0.82622,0.17812,0.55218,0.89241,0.70167,0.82069,1.25454,0.40471,0.86559,0.42564,0.87456,0.96594,-0.21325,0.51639,0.68871,1.00098,0.80362,1.58319,0.16537,0.33919,1.68602,0.89487,1.34338,1.05876,0.99648,2.45722,-0.45466,-0.11565,1.46203,2.02692,0.5733,1.24169,0.81569,1.05254,2.00039,0.70935,1.58656,0.91256,0.48386,0.75423,0.91888,0.66491,1.18234,0.70718,0.59013,0.82827,0.63891,0.92889,0.3476,0.39408,0.83019,0.79563,0.2854
"hsa-miR-98-3p",1.63371,0.56409,1.09897,0.75375,1.49066,0.89192,0.6299,1.19577,0.73074,1.50946,0.67726,1.03846,0.85873,0.4946,1.04674,0.91585,0.89489,1.172,0.67282,1.32903,0.83171,0.71711,0.41432,0.7818,0.56009,0.7407,1.08908,0.43914,0.23428,0.73839,0.66579,1.01808,0.63605,1.60382,0.7462,1.17639,0.3224,0.75039,0.53021,1.57651,1.41569,0.08492,0.64263,0.18634,0.69848,0.45633,1.36006,1.64682,1.03877,1.45289,0.26495,1.48921,0.28589,0.82943,1.42903,2.07286,0.43924,0.7584,0.88178,0.85426,0.49105,0.85486,0.70186,0.99383,0.83989,0.71389,0.9835,0.61642,1.93035,1.30711,1.03699,0.89357,0.59049,0.72228,0.79132,0.33812,0.69971,0.33492,0.70187,0.84664,1.50072,0.92442,1.4672,1.02566,1.28875,1.06434,0.66721,1.07981,1.2218,1.04084,1.18776,1.21103,0.83668,1.98016,0.76906,0.59406,1.22465,0.67378,1.2308,1.03327,0.50773,0.77075,0.54411,0.78269,1.05667,0.5917,0.28516,0.63158,0.45473,0.80826,0.71451,0.78372,0.62764,0.57287,0.27806,0.26706,0.72722,0.54113,0.24562,0.54893,0.90614,0.36438,0.3975,1.14259,0.47021,0.67623,0.42458,0.87763,-0.26112,2.12678,0.35387,0.39478,1.16974,0.72743,0.55787,0.61197,0.93142,0.73628,0.75969,1.4434,0.71084,1.12867,0.59268,1.14421,0.88807,1.19892,0.68634,0.87421,1.26147,1.35787,0.64506,1.04027,0.93863,0.92365,0.88199,0.41399,1.75461,0.49944,1.23418,0.79892,0.66706,0.37982,0.80293,2.1512,1.11901,1.02546,0.81575,0.32261,0.89815,1.22437,0.7869,1.62358,0.24326,0.43995,0.80595,1.59194,0.66536,0.81595,-0.04126,0.32712,1.15314,0.29328,1.41965,0.21164,0.9666,0.56699,0.64508,0.6012,1.1038,0.59564,1.07672,0.62691,1.05085,0.93669,-0.25447,0.83845,1.23626,0.65007,0.78436,1.14238,0.17276,0.39436,1.02318,0.88519,1.29468,0.97851,1.2709,1.16783,-0.41382,-0.25358,0.84633,1.26087,0.12151,1.36359,0.63175,0.84194,0.98627,0.72696,0.83599,0.49273,0.58092,0.54912,0.55152,0.89572,1.61302,0.96802,0.38074,0.89517,0.57508,1.30601,0.3523,0.73737,0.90358,0.92013,1.15515
"hsa-miR-7-2-3p",2.47575,0.43361,1.27412,1.69028,1.00055,0.78463,0.59754,1.03485,1.0629,0.8892,0.52473,1.05561,0.82408,1.05709,0.73845,0.49625,0.40977,1.60955,0.92853,1.2545,1.21223,0.75482,0.50745,0.8878,0.80929,0.83977,0.87912,1.14268,0.26692,1.08375,1.08374,1.12408,0.38862,1.36247,1.16172,1.22886,0.64627,1.91771,0.53021,0.77681,1.14153,0.34155,0.91559,0.13316,0.63526,0.53207,1.59919,1.27527,1.00016,1.23992,0.59928,1.42252,0.29897,0.97166,1.90789,1.59911,0.31001,1.12903,1.11982,1.09334,0.63566,0.80595,0.65106,0.88124,0.91564,0.78537,1.82938,0.69401,2.10293,1.11768,0.72722,1.17218,0.82736,0.83165,0.99491,0.52188,0.57612,0.10347,0.78929,1.1986,0.85423,0.981,1.33926,0.52421,1.33407,1.3369,0.84329,1.56114,1.0744,0.86132,0.98691,0.65677,1.60088,0.75642,0.6124,0.71962,0.68452,0.77522,0.82337,0.51465,0.32,0.54016,1.50807,0.68644,0.83688,0.55381,0.62629,0.85994,0.53353,1.26378,1.09692,0.9819,0.856,1.96264,0.17875,0.39826,0.89317,0.57377,0.61436,0.33093,0.51048,0.53664,0.70217,1.30854,0.52428,0.47472,0.69357,0.65083,-0.01353,1.89961,1.22895,0.73038,0.7576,0.63035,0.07053,0.36805,1.009,0.97543,1.39392,0.76791,0.80376,0.4951,0.7408,1.03346,0.67942,1.51476,0.98213,0.773,1.47161,1.51418,0.44391,0.81521,0.36964,0.93673,0.93884,1.07625,0.76496,0.64784,0.86941,1.26956,0.31918,0.21403,0.55991,0.67174,1.28354,0.3997,0.89344,1.54275,0.61918,0.35625,0.5619,0.97089,0.31473,0.7782,0.6607,1.14577,0.50169,0.84859,-0.02984,0.43229,0.63194,-0.01301,0.9355,0.19222,0.58402,0.27787,0.44153,0.52088,0.85297,0.27482,0.15354,0.20547,0.62927,0.83133,-0.10316,0.87724,0.71786,0.9368,1.01643,0.66314,0.61865,0.47195,0.796,2.53057,0.4465,0.55843,1.03945,0.71733,-0.40414,0.07106,1.15771,0.89877,0.28448,1.30614,0.19932,0.8693,0.86873,1.17363,0.69949,1.00194,0.41691,0.91845,0.78864,0.63257,0.47026,1.17489,0.57695,0.70916,1.27302,0.88934,0.4943,0.68874,0.69223,0.697,1.05033
"hsa-miR-23b-5p",0.85065,0.38571,1.12786,0.9305,0.31042,0.62229,1.43566,1.03857,0.66419,1.40622,0.73648,1.34589,0.77007,1.45291,0.72103,0.42426,0.31303,1.95688,0.7489,0.88051,0.72574,0.56973,0.48085,0.3964,0.27952,0.9776,0.52678,0.99367,0.09462,1.66662,0.78728,1.26135,0.36171,1.98139,0.6915,0.94438,0.60899,0.57083,0.73617,0.60527,1.43835,0.04703,0.39848,0.36127,0.65769,0.97908,1.49863,1.0652,1.37088,1.10869,0.31611,1.24283,-0.08858,2.18048,1.27555,1.29144,0.29398,0.91392,0.72831,0.56235,0.83155,0.7653,0.80902,0.98852,1.28047,1.16519,1.43105,0.7597,1.96352,0.96442,0.3435,0.85597,0.87386,0.78907,0.42357,0.55485,0.90341,0.64951,0.40772,0.96389,0.59226,1.20821,1.03795,0.76117,1.55879,1.09218,0.68586,1.11298,1.42576,0.98987,1.03026,0.76004,2.78209,1.28584,0.20298,0.61763,0.8774,0.71407,0.75053,0.5466,0.5313,0.77646,0.57349,0.63854,0.72868,0.82178,0.60576,0.90018,0.55416,1.4885,1.29015,1.43101,0.29046,1.34732,0.63401,1.06671,0.7031,0.70882,0.15752,0.91808,0.65819,0.8844,0.24588,1.11615,0.47592,0.56894,0.29634,0.21416,0.02215,1.09115,1.15079,0.90575,1.52939,0.78889,0.13085,0.50098,0.66625,0.56766,0.71537,0.30557,0.4826,0.77486,0.99929,0.96679,0.90671,1.35444,0.43783,0.93343,1.67551,1.50111,0.5947,0.77726,1.27249,1.90878,1.19386,0.40906,0.58671,0.75837,1.54706,0.89311,0.68972,0.21403,1.39473,1.81401,0.5733,0.82561,1.51642,0.99979,1.6367,0.66567,0.26888,0.40862,0.26683,0.28648,0.76835,1.03603,0.51801,1.50587,-0.15683,0.62615,0.30515,0.17663,0.79631,0.21164,1.1407,0.7894,0.49387,0.63009,1.27302,0.73555,-0.02177,0.16849,0.64451,0.86512,-0.04143,0.24393,1.0404,0.48494,0.65169,0.36187,0.12237,0.60716,0.70169,1.25044,1.34546,0.71097,0.76689,0.73689,-0.47762,-0.20381,1.5484,0.79047,0.31646,0.52365,0.65532,0.62522,0.93932,0.55529,0.69604,1.08389,1.39421,0.42644,1.20597,0.8197,0.71736,0.68349,0.39938,0.77063,1.14588,0.64402,0.76268,1.00948,0.72851,1.37741,0.6647
