"","GSM3334304","GSM3334305","GSM3334306","GSM3334307","GSM3334308","GSM3334309","GSM3334310","GSM3334311","GSM3334312","GSM3334313","GSM3334314","GSM3334315","GSM3334316","GSM3334317","GSM3334318","GSM3334319","GSM3334320","GSM3334321","GSM3334322","GSM3334323","GSM3334324","GSM3334325","GSM3334326","GSM3334327","GSM3334328","GSM3334329","GSM3334330","GSM3334331","GSM3334332","GSM3334333","GSM3334334","GSM3334335","GSM3334336","GSM3334337","GSM3334338","GSM3334339","GSM3334340","GSM3334341","GSM3334342","GSM3334343","GSM3334344","GSM3334345","GSM3334346","GSM3334347","GSM3334348","GSM3334349","GSM3334350","GSM3334351","GSM3334352","GSM3334353","GSM3334354","GSM3334355","GSM3334356","GSM3334357","GSM3334358","GSM3334359","GSM3334360","GSM3334361","GSM3334362","GSM3334363","GSM3334364","GSM3334365","GSM3334366","GSM3334367","GSM3334368","GSM3334369","GSM3334370","GSM3334371","GSM3334372","GSM3334373","GSM3334374","GSM3334375","GSM3334376","GSM3334377","GSM3334378","GSM3334379","GSM3334380","GSM3334381","GSM3334382","GSM3334383","GSM3334384","GSM3334385","GSM3334386","GSM3334387","GSM3334388","GSM3334389","GSM3334390","GSM3334391","GSM3334392","GSM3334393","GSM3334394","GSM3334395","GSM3334396","GSM3334397","GSM3334398","GSM3334399","GSM3334400","GSM3334401","GSM3334402","GSM3334403","GSM3334404","GSM3334405","GSM3334406","GSM3334407","GSM3334408","GSM3334409","GSM3334410","GSM3334411","GSM3334412","GSM3334413","GSM3334414","GSM3334415","GSM3334416","GSM3334417","GSM3334418","GSM3334419","GSM3334420","GSM3334421","GSM3334422","GSM3334423","GSM3334424","GSM3334425","GSM3334426","GSM3334427","GSM3334428","GSM3334429","GSM3334430","GSM3334431","GSM3334432","GSM3334433","GSM3334434","GSM3334435","GSM3334436","GSM3334437","GSM3334438","GSM3334439","GSM3334440","GSM3334441","GSM3334442","GSM3334443","GSM3334444","GSM3334445","GSM3334446","GSM3334447","GSM3334448","GSM3334449","GSM3334450","GSM3334451","GSM3334452","GSM3334453","GSM3334454","GSM3334455","GSM3334456","GSM3334457","GSM3334458","GSM3334459","GSM3334460","GSM3334461","GSM3334462","GSM3334463","GSM3334464","GSM3334465","GSM3334466","GSM3334467","GSM3334468","GSM3334469","GSM3334470","GSM3334471","GSM3334472","GSM3334473","GSM3334474","GSM3334475","GSM3334476","GSM3334477","GSM3334478","GSM3334479","GSM3334480","GSM3334481","GSM3334482","GSM3334483"
"hsa-miR-106b-3p",8.644,8.644,8.644,8.644,8.644,8.644,11.045,10.357,9.878,11.209,12.447,11.14,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,10.537,8.644,9.056,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.728,8.644,11.817,9.318,8.644,10.3,9.121,8.644,11.589,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.834,8.644,8.644,8.644,8.644,8.644,9.06,8.644,8.644,9.445,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,9.273,8.644,8.644,8.644,8.644,12.758,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,9.651,9.313,8.644,8.644,8.644,8.644,8.644,8.644,9.938,8.644,10.405,10.254,9.468,8.644,8.644,11.259,10.118,8.644,8.644,8.644,8.644,10.829,8.644,8.644,8.644,8.644,8.644
"hsa-miR-29c-5p",8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,12.773,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644
"hsa-miR-29c-3p",8.644,8.644,8.644,8.644,8.644,8.644,10.98,8.644,9.085,12.243,13.151,12.843,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.803,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,11.527,8.644,8.644,9.533,8.644,8.644,8.644,8.644,8.644,8.644,9.171,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,11.781,12.657,10.715,8.644,8.644,9.683,10.015,11.512,8.644,8.644,9.328,8.644,8.644,8.941,11.134,10.164,8.644,10.276,8.644,10.932,8.644,10.152,8.644,8.644,8.903,8.644,8.644,8.644,9.135,8.644,11.608,12.111,12.596,8.644,8.644,11.918,14.146,12.168,10.756,11.155,8.783,8.644,8.644,8.644,8.644,10.832,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,12.155,8.644,8.644,9.133,8.644,8.644,9.771,8.644,8.644,12.068,8.644,8.644,8.644,9.063,8.644,9.97,11.968,8.644,11.744,10.97,10.58,8.644,8.644,8.644,8.927,8.644,8.644,8.644,8.644,8.644,8.644,10.679,9.991,10.701,9.082,9.971,11.927,8.644,10.314,9.204,11.788,11.594,8.644,8.644,11.821,12.844,9.332,9.987,8.644,10.031,8.757
"hsa-miR-30c-1-3p",8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,9.953,10.063,8.644,8.644,8.644,8.644,8.644,8.644,9.516,8.644,8.644,8.644,8.644,8.644,8.644,10.116,8.644,8.644,8.644,8.644,10.353,8.644,8.644,8.644,8.644,8.644,8.644,8.644,10.493,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,11.752,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,9.017,8.644,8.644,8.866,8.644,8.644,8.644,8.644,10.167,8.644,14.014,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,10.891,8.644,12.251,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,10.734,10.122,8.644,10.524,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644
"hsa-miR-200a-5p",8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,11.949,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644
"hsa-miR-200a-3p",8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,9.734,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644
"hsa-miR-302a-5p",8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,11.318,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644
"hsa-miR-302a-3p",8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,11.808,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644
"hsa-miR-219a-2-3p",8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,9.397,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,9.865,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644
"hsa-miR-34b-5p",8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,10.992,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644
"hsa-miR-34b-3p",8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,9.755,8.644,8.644,11.134,12.027,12.504,9.189,8.644,10.641,10.588,11.324,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.766,8.644,10.406,8.644,10.551,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,10.196,14.03,13.299,8.644,8.644,14.454,13.71,12.949,9.877,11.104,9.353,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,10.949,8.644,8.644,10.404,8.644,8.644,8.644,8.644,8.644,10.68,8.644,8.644,8.644,8.644,9.212,12.445,13.518,8.644,12.111,10.931,9.054,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,10.834,9.815,8.644,9.292,10.63,14.359,8.644,10.534,8.644,11.046,8.644,8.644,8.644,12.909,13.298,8.644,10.169,8.644,11.119,9.373
"hsa-miR-34c-5p",8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,10.428,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644
"hsa-miR-34c-3p",8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,10.706,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644
"hsa-miR-299-5p",8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,11.015,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644
"hsa-miR-299-3p",8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,10.083,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644
"hsa-miR-301a-3p",8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,12.135,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644
"hsa-miR-99b-5p",8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,10.87,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644,8.644
