Accession,Technology
GPL26886,high-throughput sequencing
GPL24698,in situ oligonucleotide
GPL25967,in situ oligonucleotide
GPL26877,high-throughput sequencing
GPL26879,high-throughput sequencing
GPL24289,other
GPL26871,high-throughput sequencing
GPL26873,high-throughput sequencing
GPL26874,high-throughput sequencing
GPL26876,high-throughput sequencing
GPL26722,other
GPL26801,in situ oligonucleotide
GPL26868,high-throughput sequencing
GPL26861,in situ oligonucleotide
GPL26863,high-throughput sequencing
GPL26864,high-throughput sequencing
GPL26865,high-throughput sequencing
GPL26866,high-throughput sequencing
GPL26867,high-throughput sequencing
GPL25996,other
GPL26859,high-throughput sequencing
GPL26862,high-throughput sequencing
GPL26853,high-throughput sequencing
GPL26855,high-throughput sequencing
GPL26856,high-throughput sequencing
GPL26839,high-throughput sequencing
GPL26841,high-throughput sequencing
GPL26842,high-throughput sequencing
GPL26843,high-throughput sequencing
GPL26844,high-throughput sequencing
GPL26846,high-throughput sequencing
GPL26847,high-throughput sequencing
GPL26851,high-throughput sequencing
GPL26852,RT-PCR
GPL26834,other
GPL26838,antibody
GPL26830,high-throughput sequencing
GPL26831,high-throughput sequencing
GPL26835,high-throughput sequencing
GPL26836,high-throughput sequencing
GPL26837,in situ oligonucleotide
GPL26829,high-throughput sequencing
GPL26811,spotted peptide or protein
GPL26812,high-throughput sequencing
GPL26822,high-throughput sequencing
GPL26824,high-throughput sequencing
GPL26828,high-throughput sequencing
GPL26192,in situ oligonucleotide
GPL25305,in situ oligonucleotide
GPL26225,in situ oligonucleotide
GPL26810,high-throughput sequencing
GPL26804,in situ oligonucleotide
GPL26802,high-throughput sequencing
GPL26805,high-throughput sequencing
GPL26806,high-throughput sequencing
GPL25249,in situ oligonucleotide
GPL26788,other
GPL26791,in situ oligonucleotide
GPL26795,high-throughput sequencing
GPL26796,high-throughput sequencing
GPL26789,high-throughput sequencing
GPL26790,high-throughput sequencing
GPL26792,high-throughput sequencing
GPL25197,other
GPL26777,high-throughput sequencing
GPL26778,high-throughput sequencing
GPL26780,high-throughput sequencing
GPL26782,high-throughput sequencing
GPL26783,high-throughput sequencing
GPL26784,high-throughput sequencing
GPL26785,high-throughput sequencing
GPL26786,high-throughput sequencing
GPL26787,high-throughput sequencing
GPL25315,spotted oligonucleotide
GPL26775,high-throughput sequencing
GPL26767,in situ oligonucleotide
GPL26768,in situ oligonucleotide
GPL26769,other
GPL26771,high-throughput sequencing
GPL26772,high-throughput sequencing
GPL26774,high-throughput sequencing
GPL25167,spotted DNA/cDNA
GPL26764,other
GPL26766,high-throughput sequencing
GPL26759,high-throughput sequencing
GPL26760,high-throughput sequencing
GPL26762,high-throughput sequencing
GPL26763,high-throughput sequencing
GPL26751,high-throughput sequencing
GPL26747,RT-PCR
GPL26749,high-throughput sequencing
GPL26750,oligonucleotide beads
GPL26744,high-throughput sequencing
GPL26745,high-throughput sequencing
GPL26746,high-throughput sequencing
GPL26732,spotted DNA/cDNA
GPL26737,high-throughput sequencing
GPL26738,high-throughput sequencing
GPL26739,high-throughput sequencing
GPL26741,high-throughput sequencing
GPL26742,high-throughput sequencing
GPL26733,high-throughput sequencing
GPL26734,in situ oligonucleotide
GPL25534,other
GPL23230,in situ oligonucleotide
GPL26727,high-throughput sequencing
GPL26728,high-throughput sequencing
GPL26724,in situ oligonucleotide
GPL26725,high-throughput sequencing
GPL23845,other
GPL26723,high-throughput sequencing
GPL26714,in situ oligonucleotide
GPL26715,in situ oligonucleotide
GPL22094,in situ oligonucleotide
GPL26709,high-throughput sequencing
GPL26710,in situ oligonucleotide
GPL26711,high-throughput sequencing
GPL26713,high-throughput sequencing
GPL26705,spotted peptide or protein
GPL26706,high-throughput sequencing
GPL26707,high-throughput sequencing
GPL24762,other
GPL26700,high-throughput sequencing
GPL26701,high-throughput sequencing
GPL26704,high-throughput sequencing
GPL26697,high-throughput sequencing
GPL26698,oligonucleotide beads
GPL26699,oligonucleotide beads
GPL26689,RT-PCR
GPL26690,high-throughput sequencing
GPL26691,high-throughput sequencing
GPL26693,high-throughput sequencing
GPL26694,high-throughput sequencing
GPL26683,spotted oligonucleotide
GPL26680,high-throughput sequencing
GPL26681,high-throughput sequencing
GPL26685,high-throughput sequencing
GPL26686,high-throughput sequencing
GPL26675,high-throughput sequencing
GPL26676,high-throughput sequencing
GPL26677,high-throughput sequencing
GPL26679,high-throughput sequencing
GPL21268,spotted oligonucleotide
GPL26672,high-throughput sequencing
GPL26673,high-throughput sequencing
GPL26403,spotted oligonucleotide
GPL26660,high-throughput sequencing
GPL26664,high-throughput sequencing
GPL26665,high-throughput sequencing
GPL26667,high-throughput sequencing
GPL26668,high-throughput sequencing
GPL26670,high-throughput sequencing
GPL26671,high-throughput sequencing
GPL26517,in situ oligonucleotide
GPL23501,spotted oligonucleotide
GPL26657,high-throughput sequencing
GPL26658,high-throughput sequencing
GPL26656,high-throughput sequencing
GPL26650,high-throughput sequencing
GPL26651,high-throughput sequencing
GPL26652,high-throughput sequencing
GPL26653,high-throughput sequencing
GPL26642,other
GPL26644,in situ oligonucleotide
GPL26645,high-throughput sequencing
GPL26646,high-throughput sequencing
GPL26647,high-throughput sequencing
GPL26648,high-throughput sequencing
GPL26334,other
GPL25017,in situ oligonucleotide
GPL26632,in situ oligonucleotide
GPL26633,in situ oligonucleotide
GPL26634,in situ oligonucleotide
GPL26636,high-throughput sequencing
GPL26637,high-throughput sequencing
GPL26638,high-throughput sequencing
GPL26639,high-throughput sequencing
GPL26640,high-throughput sequencing
GPL26156,MS
GPL26598,in situ oligonucleotide
GPL26631,high-throughput sequencing
GPL25601,in situ oligonucleotide
GPL26626,in situ oligonucleotide
GPL26617,RT-PCR
GPL26625,high-throughput sequencing
GPL26593,other
GPL26616,high-throughput sequencing
GPL26618,high-throughput sequencing
GPL26619,high-throughput sequencing
GPL26620,high-throughput sequencing
GPL26622,high-throughput sequencing
GPL26623,high-throughput sequencing
GPL26624,high-throughput sequencing
GPL26613,high-throughput sequencing
GPL26615,high-throughput sequencing
GPL25002,in situ oligonucleotide
GPL25018,in situ oligonucleotide
GPL26599,other
GPL26609,high-throughput sequencing
GPL26611,high-throughput sequencing
GPL26591,other
GPL26595,high-throughput sequencing
GPL26596,high-throughput sequencing
GPL26597,high-throughput sequencing
GPL26601,high-throughput sequencing
GPL26602,high-throughput sequencing
GPL26603,high-throughput sequencing
GPL26604,high-throughput sequencing
GPL26605,high-throughput sequencing
GPL26606,high-throughput sequencing
GPL26607,high-throughput sequencing
GPL26586,high-throughput sequencing
GPL26587,high-throughput sequencing
GPL26590,high-throughput sequencing
GPL26592,high-throughput sequencing
GPL26594,high-throughput sequencing
GPL26568,in situ oligonucleotide
GPL26584,high-throughput sequencing
GPL26585,high-throughput sequencing
GPL25686,in situ oligonucleotide
GPL25708,in situ oligonucleotide
GPL26569,high-throughput sequencing
GPL26583,high-throughput sequencing
GPL26564,high-throughput sequencing
GPL26565,high-throughput sequencing
GPL26566,high-throughput sequencing
GPL26567,high-throughput sequencing
GPL26555,high-throughput sequencing
GPL26557,high-throughput sequencing
GPL26558,high-throughput sequencing
GPL26559,high-throughput sequencing
GPL26560,high-throughput sequencing
GPL26562,high-throughput sequencing
GPL26526,high-throughput sequencing
GPL26548,high-throughput sequencing
GPL26549,high-throughput sequencing
GPL26551,high-throughput sequencing
GPL26552,RT-PCR
GPL25308,spotted oligonucleotide
GPL26524,high-throughput sequencing
GPL26496,other
GPL26510,in situ oligonucleotide
GPL26519,high-throughput sequencing
GPL26522,high-throughput sequencing
GPL26523,high-throughput sequencing
GPL26511,oligonucleotide beads
GPL26512,high-throughput sequencing
GPL26513,high-throughput sequencing
GPL26514,high-throughput sequencing
GPL26515,high-throughput sequencing
GPL26518,high-throughput sequencing
GPL26508,high-throughput sequencing
GPL26509,high-throughput sequencing
GPL26505,high-throughput sequencing
GPL26502,high-throughput sequencing
GPL26504,high-throughput sequencing
GPL26497,high-throughput sequencing
GPL26498,high-throughput sequencing
GPL26500,high-throughput sequencing
GPL26501,high-throughput sequencing
GPL26488,high-throughput sequencing
GPL26490,high-throughput sequencing
GPL26492,high-throughput sequencing
GPL26493,high-throughput sequencing
GPL26494,high-throughput sequencing
GPL25001,in situ oligonucleotide
GPL26474,in situ oligonucleotide
GPL26481,high-throughput sequencing
GPL26482,high-throughput sequencing
GPL26483,high-throughput sequencing
GPL26484,high-throughput sequencing
GPL26487,high-throughput sequencing
GPL26475,high-throughput sequencing
GPL26477,high-throughput sequencing
GPL26479,high-throughput sequencing
GPL26401,high-throughput sequencing
GPL26472,high-throughput sequencing
GPL21700,in situ oligonucleotide
GPL26395,in situ oligonucleotide
GPL26391,in situ oligonucleotide
GPL26393,RT-PCR
GPL26396,high-throughput sequencing
GPL26397,high-throughput sequencing
GPL26392,high-throughput sequencing
GPL26394,high-throughput sequencing
GPL26355,in situ oligonucleotide
GPL26382,high-throughput sequencing
GPL26383,high-throughput sequencing
GPL26389,high-throughput sequencing
GPL26390,high-throughput sequencing
GPL26371,spotted oligonucleotide
GPL26376,high-throughput sequencing
GPL26377,high-throughput sequencing
GPL26378,high-throughput sequencing
GPL26379,high-throughput sequencing
GPL26380,high-throughput sequencing
GPL26381,in situ oligonucleotide
GPL17381,in situ oligonucleotide
GPL24052,in situ oligonucleotide
GPL24804,RT-PCR
GPL24844,RT-PCR
GPL24881,RT-PCR
GPL25569,in situ oligonucleotide
GPL26369,high-throughput sequencing
GPL26370,high-throughput sequencing
GPL26373,high-throughput sequencing
GPL26266,antibody
GPL26331,spotted DNA/cDNA
GPL26365,high-throughput sequencing
GPL26367,high-throughput sequencing
GPL26368,high-throughput sequencing
GPL26354,RT-PCR
GPL26359,high-throughput sequencing
GPL26360,high-throughput sequencing
GPL26361,high-throughput sequencing
GPL26362,high-throughput sequencing
GPL26363,high-throughput sequencing
GPL26364,high-throughput sequencing
GPL26351,high-throughput sequencing
GPL26352,high-throughput sequencing
GPL26353,high-throughput sequencing
GPL26356,in situ oligonucleotide
GPL26357,high-throughput sequencing
GPL26358,high-throughput sequencing
GPL25703,in situ oligonucleotide
GPL26345,in situ oligonucleotide
GPL26348,high-throughput sequencing
GPL26349,high-throughput sequencing
GPL26337,high-throughput sequencing
GPL26339,high-throughput sequencing
GPL26340,high-throughput sequencing
GPL26341,other
GPL26342,high-throughput sequencing
GPL26343,high-throughput sequencing
GPL26344,high-throughput sequencing
GPL21629,spotted oligonucleotide
GPL26132,high-throughput sequencing
GPL26335,RT-PCR
GPL26336,high-throughput sequencing
GPL26330,high-throughput sequencing
GPL26332,high-throughput sequencing
GPL26333,high-throughput sequencing
GPL26326,high-throughput sequencing
GPL26327,high-throughput sequencing
GPL26328,high-throughput sequencing
GPL26329,high-throughput sequencing
GPL25621,spotted oligonucleotide
GPL26325,high-throughput sequencing
GPL26317,high-throughput sequencing
GPL26318,high-throughput sequencing
GPL26319,high-throughput sequencing
GPL26320,high-throughput sequencing
GPL26321,high-throughput sequencing
GPL26322,high-throughput sequencing
GPL26324,high-throughput sequencing
GPL26309,oligonucleotide beads
GPL26312,high-throughput sequencing
GPL26313,high-throughput sequencing
GPL26314,high-throughput sequencing
GPL26307,high-throughput sequencing
GPL26308,high-throughput sequencing
GPL26310,high-throughput sequencing
GPL26311,high-throughput sequencing
GPL26302,high-throughput sequencing
GPL26303,high-throughput sequencing
GPL26306,high-throughput sequencing
GPL26118,in situ oligonucleotide
GPL26293,high-throughput sequencing
GPL26294,high-throughput sequencing
GPL26296,high-throughput sequencing
GPL26298,high-throughput sequencing
GPL26301,high-throughput sequencing
GPL25788,RT-PCR
GPL26288,high-throughput sequencing
GPL26291,high-throughput sequencing
GPL26278,spotted peptide or protein
GPL26279,high-throughput sequencing
GPL26280,high-throughput sequencing
GPL26281,high-throughput sequencing
GPL26282,high-throughput sequencing
GPL26283,high-throughput sequencing
GPL26285,high-throughput sequencing
GPL26286,high-throughput sequencing
GPL26269,high-throughput sequencing
GPL26270,high-throughput sequencing
GPL26271,high-throughput sequencing
GPL26273,high-throughput sequencing
GPL26274,high-throughput sequencing
GPL26275,high-throughput sequencing
GPL26276,high-throughput sequencing
GPL26277,high-throughput sequencing
GPL26258,in situ oligonucleotide
GPL26265,high-throughput sequencing
GPL26267,high-throughput sequencing
GPL26268,high-throughput sequencing
GPL25450,in situ oligonucleotide
GPL26259,high-throughput sequencing
GPL26260,high-throughput sequencing
GPL26262,high-throughput sequencing
GPL26231,RT-PCR
GPL26255,high-throughput sequencing
GPL23782,other
GPL26245,other
GPL26248,high-throughput sequencing
GPL26251,high-throughput sequencing
GPL26254,high-throughput sequencing
GPL21555,spotted oligonucleotide
GPL26246,high-throughput sequencing
GPL25764,in situ oligonucleotide
GPL26232,in situ oligonucleotide
GPL26241,high-throughput sequencing
GPL26243,high-throughput sequencing
GPL26244,high-throughput sequencing
GPL25422,in situ oligonucleotide
GPL25520,spotted oligonucleotide
GPL26224,in situ oligonucleotide
GPL26234,high-throughput sequencing
GPL26236,high-throughput sequencing
GPL26237,high-throughput sequencing
GPL26239,high-throughput sequencing
GPL24480,in situ oligonucleotide
GPL25329,in situ oligonucleotide
GPL25505,in situ oligonucleotide
GPL26193,in situ oligonucleotide
GPL26230,high-throughput sequencing
GPL26226,high-throughput sequencing
GPL26227,in situ oligonucleotide
GPL26228,high-throughput sequencing
GPL26229,high-throughput sequencing
GPL26222,high-throughput sequencing
GPL24316,in situ oligonucleotide
GPL26218,high-throughput sequencing
GPL26219,high-throughput sequencing
GPL26220,high-throughput sequencing
GPL26214,high-throughput sequencing
GPL26216,high-throughput sequencing
GPL26217,in situ oligonucleotide
GPL26211,high-throughput sequencing
GPL26212,high-throughput sequencing
GPL26213,high-throughput sequencing
GPL26142,in situ oligonucleotide
GPL26210,high-throughput sequencing
GPL26205,high-throughput sequencing
GPL26206,high-throughput sequencing
GPL26208,high-throughput sequencing
GPL26203,high-throughput sequencing
GPL26204,high-throughput sequencing
GPL26201,high-throughput sequencing
GPL26202,high-throughput sequencing
GPL25174,spotted oligonucleotide
GPL26196,high-throughput sequencing
GPL26198,high-throughput sequencing
GPL26200,in situ oligonucleotide
GPL25955,in situ oligonucleotide
GPL26191,high-throughput sequencing
GPL26194,high-throughput sequencing
GPL24619,in situ oligonucleotide
GPL26172,RT-PCR
GPL26174,high-throughput sequencing
GPL26175,high-throughput sequencing
GPL26176,high-throughput sequencing
GPL26177,high-throughput sequencing
GPL26178,high-throughput sequencing
GPL26179,high-throughput sequencing
GPL26180,high-throughput sequencing
GPL26181,high-throughput sequencing
GPL26182,high-throughput sequencing
GPL26183,high-throughput sequencing
GPL26184,high-throughput sequencing
GPL26185,high-throughput sequencing
GPL26187,high-throughput sequencing
GPL26188,high-throughput sequencing
GPL21519,in situ oligonucleotide
GPL26171,high-throughput sequencing
GPL25929,other
GPL26169,high-throughput sequencing
GPL26170,high-throughput sequencing
GPL26154,RT-PCR
GPL26158,RT-PCR
GPL26161,high-throughput sequencing
GPL26162,high-throughput sequencing
GPL26163,high-throughput sequencing
GPL26164,in situ oligonucleotide
GPL26166,high-throughput sequencing
GPL26167,high-throughput sequencing
GPL26168,high-throughput sequencing
GPL26153,high-throughput sequencing
GPL26155,high-throughput sequencing
GPL26157,in situ oligonucleotide
GPL26150,high-throughput sequencing
GPL26151,high-throughput sequencing
GPL26152,high-throughput sequencing
GPL25956,RT-PCR
GPL26141,high-throughput sequencing
GPL24590,RT-PCR
GPL24993,other
GPL25918,in situ oligonucleotide
GPL26138,other
GPL26140,in situ oligonucleotide
GPL23844,other
GPL26134,high-throughput sequencing
GPL25963,other
GPL26121,spotted oligonucleotide
GPL26127,high-throughput sequencing
GPL26128,high-throughput sequencing
GPL26129,high-throughput sequencing
GPL26130,high-throughput sequencing
GPL26131,high-throughput sequencing
GPL26106,in situ oligonucleotide
GPL26116,high-throughput sequencing
GPL26119,high-throughput sequencing
GPL26120,high-throughput sequencing
GPL26124,high-throughput sequencing
GPL26126,high-throughput sequencing
GPL25510,in situ oligonucleotide
GPL26104,high-throughput sequencing
