ExomiRHub ID	GEO ID	Disease	Disease Type	Drug	Life Style	Sample Name	Sample Type	Sample Number	Sample Source	Isolation Method	Extraction Method	Infection	Genotype	Body Site	Age	Gender	Status	Stage	Grade	Metastatisis	Citation	Platform Id	Platform Name
EMIR00000004	GSE114860	Gestational diabetes mellitus	Endocrine metabolic disease	N/A	N/A	Plasma exosome of pregnancies with normal and gestational diabetes mellitus	Plasma derived exosomes	28	Plasma	Step-wise centrifugation-ultracentrifugation with filtered through 0.22 um membranes	Trizol-LS reagent and miRNeasy Mini Kit	N/A	N/A	Pancreas	N/A	N/A	Public on May 24, 2021	N/A	N/A	N/A	Link to PubMed	GPL18573	Illumina NextSeq 500 (Homo sapiens)
EMIR00000005	GSE101811	Autosomal dominant familial polycystic kidney disease	Kidney disease	Hemodialysis	N/A	Serum exosome in 10 patients with ADPKD on hemodialysis treatment, 10 patients with ADPKD without hemodialysis treatment and 10 healthy controls	Serum circulating miRNA	30	Serum	NA	RNeasy Mini Kit	N/A	N/A	Kidney	Yes	Male and Female	Public on Jun 30, 2018	N/A	N/A	N/A	34900055	GPL23825	Exiqon microRNA Ready-to-Use PCR Human panel I+II
EMIR00000006	GSE106453	Skin disease	Skin disease	N/A	N/A	Extracellular vesicles (Exosome, microvesicles and apoptotic bodies) of primary human keratinocytes and HACAT (Cells) passage 50	Cell derived extracellular vesicles	24	HACAT cell	Step-wise centrifugation-ultracentrifugation	Trizol reagent	N/A	N/A	Skin	N/A	N/A	Public on May 20, 2019	N/A	N/A	N/A	30258405	GPL18573	Illumina NextSeq 500 (Homo sapiens)
EMIR00000007	GSE94721	Preeclampsia	Pregnancy-related disease	N/A	N/A	Placenta-derived exosome of normal and preeclampsia pregnancy	Tissue derived exosomes	6	Placenta	Step-wise centrifugation-ultracentrifugation	Trizol-LS reagent and RNeasy Mini Kit	N/A	N/A	Other	N/A	N/A	Public on Jan 12, 2018	Yes	N/A	N/A	28531338	GPL18573	Illumina NextSeq 500 (Homo sapiens)
EMIR00000008	GSE93020	"Pre-term birth; Preeclampsia"	Pregnancy-related disease	N/A	N/A	Exosome released from extravillous trophoblast of patients with normal pregnancy and, pre-term birth and pre-eclampsia	Tissue derived exosomes	10	Extravillous trophoblast	Step-wise centrifugation-ultracentrifugation with filtered through 0.22 um membranes	Trizol-LS reagent and RNeasy Mini Kit	N/A	N/A	Other	N/A	N/A	Public on Jun 14, 2017	N/A	N/A	N/A	28350871	GPL18573	Illumina NextSeq 500 (Homo sapiens)
EMIR00000009	GSE83981	Oral squamous cell carcinoma	Cancer	N/A	N/A	Exosome of cell lines (HOC313-P and HOC313-LM)	Cell derived exosomes	8	"HOC313-P cell; HOC313-LM cell"	NA	Total Exosome RNA and Protein Isolation Kit	N/A	N/A	Oral	N/A	N/A	Public on Aug 15, 2016	N/A	N/A	Yes	27929118	GPL11487	Agilent-021827 Human miRNA Microarray [miRNA_107_Sep09_2_105]
EMIR00000010	GSE81151	Adipose mesenchmmal stem cell	Other	N/A	N/A	Exosome derived from human adipose mesenchymal stem cells (hAMSCs) conditioned medium.	Cell derived exosomes	3	Human adipose mesenchymal stem cell	ExoQuick-TC Kit	SeraMir Exosomal miRNA Isolation Kit	N/A	N/A	Other	N/A	N/A	Public on Feb 09, 2017	N/A	N/A	N/A	27929108	GPL16791	Illumina HiSeq 2500 (Homo sapiens)
EMIR00000011	GSE71241	Human mesenchymal stem cell	Other	N/A	N/A	Exosome derived from human mesenchymal stem cells and whole cells	Cell derived exosomes	18	"Human mesenchymal stem cell; whole cell"	Step-wise centrifugation-ultracentrifugation	miRNeasy Mini Kit	N/A	N/A	Other	N/A	N/A	Public on Aug 17, 2015	N/A	N/A	N/A	26442449	GPL18743	Agilent-021827 Human miRNA Microarray [miRNA_107_Sep09]
EMIR00000012	GSE102166	Cutaneous malignant melanoma	Cancer	MAPK inhibitors	N/A	Exosome from plasma samples from 28 Stage IV CMM patients collected before and during therapy with MAPKis	Plasma derived exosomes	53	Plasma	MiRCURY Exosome Isolation Kit	miRCURY RNA isolation Kit-Biofluid	N/A	N/A	Skin	Yes	Male and Female	Public on Aug 03, 2017	Yes	N/A	Yes	30399176	GPL23857	Exiqon miRCURY LNA Universal RT microRNA PCR Human Panel I
EMIR00000013	GSE37766	Renal cell carcinoma	Cancer	Sunitinib	N/A	Plasma exosome of metastatic renal-cell carcinoma patients and healthy individuals	Plasma derived exosomes	6	Plasma	NA	RecoverAllTM Total Nucleic Acid Isolation Kit	N/A	N/A	Kidney	N/A	N/A	Public on Sep 30, 2014	N/A	N/A	Yes	24475095	GPL13329	TaqMan(r) Array Human MicroRNA B Cards v2.0
EMIR00000014	GSE104251	"Hepatocellular carcinoma with liver cirrhosis; Liver cirrhosis"	Cancer	N/A	N/A	Serum exosome from patients with hepatocellular carcinoma with liver cirrhosis and liver cirrhosis	Serum derived exosomes	10	Serum	Polyethylene glycol precipitation	miRNeasy Mini Kit	N/A	N/A	Liver	Yes	Male	Public on Oct 01, 2018	N/A	N/A	N/A	29573235	GPL11154	Illumina HiSeq 2000 (Homo sapiens)
EMIR00000015	GSE85769	Acute myeloid leukemia	Cancer	N/A	N/A	Exosome derived from cells of HL-60, MOLM-14, and whole cells	Cell derived exosomes	12	"HL-60 cell; MOLM-14 cell; whole cell"	Step-wise centrifugation-ultracentrifugation	miRNeasy Kit	N/A	N/A	Blood system	N/A	N/A	Public on Aug 18, 2016	N/A	N/A	N/A	27601730	GPL16384	[miRNA-3] Affymetrix Multispecies miRNA-3 Array
EMIR00000016	GSE70995	Chronic lymphocytic leukemia	Cancer	N/A	N/A	Exosome from culture medium of CLL and B cells from fresh blood CLL	Whole blood derived exosomes	6	Whole blood	NA	miRNeasy Kit	N/A	N/A	Blood system	N/A	N/A	Public on Aug 31, 2015	N/A	N/A	N/A	26509439	GPL20658	miRCURY LNA microRNA Array, 5th generation - hsa, mmu & rno, miRBase 15.0
EMIR00000017	GSE70994	Chronic lymphocytic leukemia	Cancer	N/A	N/A	Exosome from culture medium of CLL and B cells from fresh blood CLL	Whole blood derived exosomes	6	Whole blood	NA	miRNeasy Kit	N/A	N/A	Blood system	N/A	N/A	Public on Aug 31, 2015	N/A	N/A	N/A	26509439	GPL20657	miRCURY LNA microRNA Array, v.11.0 - hsa, mmu & rno, miRBase 13.0
EMIR00000018	GSE114697	Adult temporal lobe epilepsy	Nervous system disease	N/A	N/A	Plasma exosome of adult temporal lobe epilepsy	Plasma circulating miRNA	48	Plasma	NA	miRCURY RNA isolation Kit-Biofluid	N/A	N/A	Brain	N/A	N/A	Public on Jan 02, 2019	N/A	N/A	N/A	30396857	GPL22992	TaqMan OpenArray Human MicroRNA Panel
EMIR00000019	GSE138740	Prostate cancer	Cancer	N/A	N/A	Urinary exosome of prostate cancer patients	Urinary derived exosomes	235	Urinary	NA	Norgen Exosomal RNA Isolation Kit	N/A	N/A	Prostate	N/A	N/A	Public on Jul 29, 2020	N/A	Yes	N/A	32191585	GPL21572	[miRNA-4] Affymetrix Multispecies miRNA-4 Array [ProbeSet ID version]
EMIR00000020	GSE103708	Ovarian cancer	Cancer	N/A	N/A	Exosome from culture medium of ovarian cancer cell lines	Cell derived exosomes	32	"A2780 cell; ES-2 cell; CAOV3 cell; SKOV3 cell; OV-90 cell; OAW42 cell; MCAS cell; COV362 cell; RMG-1 cell; RMUG-S cell; KURAMOCHI cell; NIH-OVCAR3 cell; A2780cis cell; HOSE1 cell; HOSE2 cell; HOSE3 cell "	Step-wise centrifugation-ultracentrifugation	QIAzol lysis reagent and miRNeasy Mini Kit	N/A	N/A	Cervix,Ovary and Uterus	N/A	N/A	Public on Sep 12, 2017	N/A	N/A	N/A	30333487	GPL18402	Agilent-046064 Unrestricted_Human_miRNA_V19.0_Microarray (miRNA ID version)
EMIR00000021	GSE97644	Cognitive decline	Nervous system disease	N/A	N/A	Blood plasma exosome	Plasma derived exosomes	97	Plasma	ExoEasy Maxi and exoRNeasy kit	exoRNeasy Serum/Plasma Maxi Kit	N/A	N/A	Brain	Yes	Male and Female	Public on Oct 11, 2017	N/A	Yes	N/A	29046635	GPL17303	Ion Torrent Proton (Homo sapiens)
EMIR00000022	GSE66119	Bronchial disease	Lung disease	Smoking	N/A	Extracellular vesicles derived from smoking-induced human bronchial epithelial cell	Cell derived extracellular vesicles	2	Smoking-induced human bronchial epithelial cell	Step-wise centrifugation-ultracentrifugation	QIAzol lysis reagent and miRNeasy Mini Kit	N/A	N/A	Lung	N/A	N/A	Public on Feb 19, 2018	N/A	N/A	N/A	Link to PubMed	GPL18044	Agilent-046064 Unrestricted_Human_miRNA_V19.0_Microarray (Feature Number version)
EMIR00000023	GSE136241	Hair follicle regeneration	Other	Passage	N/A	Exosome derived from human dermal papilla cells	Cell derived exosomes	6	Human dermal papilla cell	Step-wise centrifugation-ultracentrifugation	NA	N/A	N/A	Other	N/A	N/A	Public on Jan 13, 2021	N/A	N/A	N/A	33425897	GPL20795	HiSeq X Ten (Homo sapiens)
EMIR00000024	GSE137109	"HPV-positive oropharyngeal squamous cell carcinoma; Gastro-oesophageal reflux disease and without cancer"	Cancer	N/A	N/A	Serum exosome derived from healthy controls, Gastro Oesophageal Reflux and locally advanced oropharyngeal squamous cell carcinoma patients	Serum derived exosomes	78	Serum	ExoQuick-TM Kit	miRNeasy Serum/Plasma Kit	Human papillomavirus	N/A	"Oral; Stomach"	N/A	N/A	Public on Jul 15, 2020	N/A	N/A	N/A	32650803	GPL17837	TaqMan OpenArray Human MicroRNA Panel (4461104)
EMIR00000025	GSE126399	Gastric cancer	Cancer	N/A	N/A	Exosome derived from gastric cancer-associated malignant ascites	Ascites derived exosomes	22	Ascites	MiRCURY Exosome Isolation Kit	Trizol-LS reagent	N/A	N/A	Stomach	Yes	Male and Female	Public on Feb 12, 2019	N/A	N/A	N/A	Link to PubMed	GPL18402	Agilent-046064 Unrestricted_Human_miRNA_V19.0_Microarray (miRNA ID version)
EMIR00000026	GSE69909	"Wound healing; Myoblast formation"	Other	N/A	N/A	Umbilical cord mesenchymal stem cells (uMSCs) and HEK-293T cells derived exosome	Cell derived exosomes	2	"uMSC cell; HEK-293T cell"	Step-wise centrifugation-ultracentrifugation	miRNeasy Mini Kit	N/A	N/A	Skin	N/A	N/A	Public on Nov 23, 2016	N/A	N/A	N/A	27496568, 27388239	GPL17303	Ion Torrent Proton (Homo sapiens)
EMIR00000027	GSE48934	"Brain cancer; Breast cancer; Melanoma"	Cancer	N/A	N/A	Exosome derived from the six cell lines, including three brain metastatic cell lines and three non brain metastatic cell lines (MDA-MB-231BR versus MDA-MB-231P, CTC1BMSM versus CTC1P, and 70W versus MeWo)	Cell derived exosomes	6	"MDA-MB-231BR cell; MDA-MB-231P cell; CTC1BMSM cell; CTC1P cell; 70W cell; MeWo cell"	ExoQuick-TC Kit	mirVana miRNA Isolation Kit	N/A	N/A	"Brain; Breast; Skin"	N/A	N/A	Public on Jul 16, 2013	N/A	N/A	N/A	24066071	GPL17456	SABiosciences Human breast cancer pathway-focused miScript miRNA PCR array
EMIR00000028	GSE44558	Regulation of pre-implantation embryo	Pregnancy-related disease	Day of menstrual cycle	N/A	Extracellular vesicles derived from endometrial fluid of patients that had no underlying endometrial pathology and had regular menstrual cycles of between 25 and 33 days	Endometrial fluid derived extracellular vesicles	20	Endometrial fluid	NA	miRNeasy Kit	N/A	N/A	Other	Yes	N/A	Public on Jun 02, 2014	N/A	Yes	N/A	26395145	GPL14767	Agilent-021827 Human miRNA Microarray G4470C (Feature Number version)
EMIR00000029	GSE176134	Ventricular Septal Defect in the fetus	Heart disease	N/A	N/A	Serum exosome of ventricular Septal Defect and control	Serum derived exosomes	20	Serum	RiboTM Exosome Isolation Reagent	"HiPure Liquid miRNA Kit; HiPure Serum/Plasma miRNA Kit"	N/A	N/A	Heart	N/A	N/A	Public on Jun 05, 2021	N/A	N/A	N/A	34567071	GPL16791	Illumina HiSeq 2500 (Homo sapiens)
EMIR00000030	GSE173514	Chronic pancreatitis	Immune inflammatory disease	N/A	N/A	Extracellular vesicles from peripheral blood of pancreatitis patients versus healthy	Whole blood derived extracellular vesicles	21	Whole blood	Step-wise centrifugation-ultracentrifugation	NA	N/A	N/A	Pancreas	N/A	N/A	Public on Apr 29, 2021	N/A	N/A	N/A	Link to PubMed	GPL30060	NanoString nCounter Human v3 miRNA Assay (NS_H_miR_v3b)
EMIR00000031	GSE114700	Adult temporal lobe epilepsy	Nervous system disease	N/A	N/A	Plasma exosome of adult temporal lobe epilepsy	Plasma circulating miRNA	48	Plasma	NA	miRCURY RNA isolation Kit-Biofluid	N/A	N/A	Brain	N/A	N/A	Public on Jan 02, 2019	N/A	N/A	N/A	30396857	GPL22992	TaqMan OpenArray Human MicroRNA Panel
EMIR00000032	GSE118103	Coronary artery bypass grafting	Heart disease	N/A	N/A	Exosome from pericardial fluid	Pericardial fluid derived exosomes	16	Pericardial fluid	Exo-Spin-TM Kit with filtered through 0.22 um membranes	miRNeasy Mini Kit	N/A	N/A	Heart	N/A	N/A	Public on Dec 31, 2020	N/A	N/A	N/A	33744469	GPL22600	microRNA Ready-to-Use PCR, Human panel I+II, V4.R
EMIR00000033	GSE145508	Vascular disease	Vascular disease	PDGF	N/A	Exosome derived from human pulmonary artery smooth muscle cells	Cell derived exosomes	2	Human pulmonary artery smooth muscle cell	ExoQuick-TC Kit	NA	N/A	N/A	Blood system	N/A	N/A	Public on Apr 22, 2020	N/A	N/A	N/A	32155804	GPL11154	Illumina HiSeq 2000 (Homo sapiens)
EMIR00000035	GSE130654	Gastric cancer	Cancer	N/A	N/A	Serum exosome of early gastric cancer patients and health controls	Serum derived exosomes	48	Serum	ExoQuick-TC Kit	miRNeasy Micro Kit	N/A	N/A	Stomach	Yes	N/A	Public on Feb 21, 2020	Yes	N/A	N/A	32256526	GPL11154	Illumina HiSeq 2000 (Homo sapiens)
EMIR00000036	GSE130512	Thyroid cancer	Cancer	N/A	N/A	Plasma exosome isolated from 8 benign thyroid nodules and 16 PTC patients with or without metastasis	Plasma derived exosomes	24	Plasma	ExoQuick-TC Kit	miRNeasy Micro Kit	N/A	N/A	Thyroid	N/A	N/A	Public on May 01, 2019	N/A	N/A	Yes	32508877	GPL11154	Illumina HiSeq 2000 (Homo sapiens)
EMIR00000037	GSE118855	Ischemic disease	Vascular disease	N/A	N/A	Human saphenous vein pericyte exosome were collected from cell media of 3 different donors	Cell derived exosomes	3	Human saphenous vein pericyte	Exo-Spin-TM Kit	miRNeasy Mini Kit	N/A	N/A	Blood system	N/A	N/A	Public on Aug 31, 2019	N/A	N/A	N/A	33744469	GPL22600	microRNA Ready-to-Use PCR, Human panel I+II, V4.R
EMIR00000038	GSE128359	Healthy individuals	Other	N/A	N/A	Exosome from 123 plasma samples of healthy donors derived from three different studies, 39 faecal samples and 47 urine samples	"Plasma derived exosomes; Urinary derived exosomes; Faecal exosomes"	209	"Plasma; Urinary; Faecal"	ExoQuick-TC Kit	"miRNeasy Plasma/Serum Mini Kit; Norgen Stool Total RNA Purification Kit; Norgen Urine microRNA Purification kit"	N/A	N/A	Other	N/A	N/A	Public on Mar 16, 2019	N/A	N/A	N/A	29423032	GPL11154	Illumina HiSeq 2000 (Homo sapiens)
EMIR00000039	GSE128004	"Neuroblastoma; Ganglioneuroblastoma intermixed"	Cancer	N/A	N/A	Plasm exosome of neuroblastoma patients and normal controls	Plasma derived exosomes	18	Plasma	NA	QIAzol lysis reagent and RNeasy Minelute Kit	N/A	N/A	Other	N/A	N/A	Public on Mar 08, 2019	N/A	N/A	N/A	31249805	GPL23227	BGISEQ-500 (Homo sapiens)
EMIR00000040	GSE119159	Hepatocellular carcinoma with chronic hepatitis C	Cancer	Anti-viral therapy	N/A	Serum exosome of hepatocellular carcinoma (HCC) in chronic hepatitis C patients who have been successfully treated by anti-viral therapy.	Serum derived exosomes	139	Serum	ExoQuick-TC Kit	miRNeasy Mini Kit	Hepatitis C virus	N/A	Liver	N/A	N/A	Public on Jan 24, 2020	N/A	N/A	N/A	31684167, 33303811	GPL21263	3D-Gene Human miRNA V21_1.0.0
EMIR00000041	GSE108604	Bronchopulmonary dysplasis	Lung disease	N/A	N/A	Exosome of tracheal aspirate samples that were collected at birth from extremely preterm infants	Tracheal aspirates derived exosomes	30	Tracheal aspirates	Step-wise centrifugation-ultracentrifugation	miRCURY RNA Isolation Kit Cell and Plant	N/A	N/A	Lung	Yes	N/A	Public on Dec 29, 2017	N/A	N/A	N/A	29515035	GPL24452	NanoString nCounter Human miRNA Expression Assay
EMIR00000042	GSE87152	Gastric cancer	Cancer	Omeprazole	N/A	Exosome derived from medium of SGC-7901 cells with or without omeprazole treatment	Cell derived exosomes	2	SGC-7901 cell	ExoQuick-TC Kit	Norgen Total RNA Purification Kit	N/A	N/A	Stomach	N/A	N/A	Public on Jan 01, 2018	N/A	N/A	N/A	Link to PubMed	GPL19730	Agilent-046064 Unrestricted_Human_miRNA_V19.0_Microarray (Probe Name version)
EMIR00000043	GSE128508	"Chronic pancreatitis; Type 1 autoimmune pancreatitis"	Immune inflammatory disease	N/A	N/A	Serum exosome-derived miRNA expression was analyzed using microarrays in from patients with type 1 autoimmune pancreatitis patients (n = 10), healthy adults (n = 10) and chronic pancreatits (n=10).	Serum derived exosomes	30	Serum	ExoQuick-TC Kit	miRNeasy Mini Kit	N/A	N/A	Pancreas	Yes	Male and Female	Public on Mar 19, 2019	N/A	N/A	N/A	Link to PubMed	GPL21263	3D-Gene Human miRNA V21_1.0.0
EMIR00000044	GSE138983	Pancreatic cancer	Cancer	Irradiation	N/A	Exosome derived from mixture of PANC-1, SW1990, BxPC-3, MIA PaCa-2 cells	Cell derived exosomes	4	"PANC-1 cell; SW1990 cell; BxPC-3 cell; MIA PaCa-2 cell"	Step-wise centrifugation-ultracentrifugation	Trizol reagent	N/A	N/A	Pancreas	N/A	N/A	Public on Jun 14, 2020	N/A	N/A	N/A	32228703	GPL11154	Illumina HiSeq 2000 (Homo sapiens)
EMIR00000045	GSE50953	Primary human T lymphoblasts	Other	PMA plus ionomycin	N/A	Activated and resting T cells and their exosome	Cell derived exosomes	8	T cell	Step-wise centrifugation-ultracentrifugation with filtered through 0.22 um membranes	Trizol reagent and miRNeasy Mini Kit	N/A	N/A	Lymph	N/A	N/A	Public on Feb 27, 2014	N/A	N/A	N/A	24356509	GPL14767	Agilent-021827 Human miRNA Microarray G4470C (Feature Number version)
EMIR00000046	GSE39571	"Multiple myeloma; Monoclonal gammopathy of undetermined significance"	"Cancer; Immune inflammatory disease"	N/A	N/A	"Exosome have been isolated from cell culture supernatant of BM-MSCs (MM=7; MGUS=2; Normal=4)"	Cell derived exosomes	13	Human bone marrow mesenchymal cell	ExoQuick-TM Kit with filtered through 0.22 um membranes	RNeasy Mini Kit	N/A	N/A	Blood system	N/A	N/A	Public on Jul 24, 2013	N/A	N/A	N/A	23454749	GPL15838	Applied Biosystems Human TaqMan Low Density Array (TLDA)
EMIR00000047	GSE27997	Immune related disease	Immune inflammatory disease	N/A	N/A	Exosome of head and neck cancer-associated fibroblast and normal fibroblast	Cell derived exosomes	16	Fibroblast	ExoQuick-TM Kit with filtered through 0.22 um membranes	Trizol reagent and miRNeasy Mini Kit	N/A	N/A	Blood system	N/A	N/A	Public on Mar 17, 2011	N/A	N/A	N/A	21505438	GPL8227	Agilent-019118 Human miRNA Microarray 2.0 G4470B (miRNA ID version)
EMIR00000048	GSE121848	Head and neck cancer	Cancer	Passage	N/A	Exosome from cell supernatants of the Raji B cell line, the Jurkat-derived J77 T cell line, and primary dendritic cells (DCs) derived from human monocytes	Cell derived exosomes	2	"Raji B cell; Jurkat-derived J77 T cell; Dendritic cell"	Step-wise centrifugation-ultracentrifugation	mirVana miRNA Isolation Kit	N/A	N/A	"Brain; Oral"	N/A	N/A	Public on Oct 27, 2018	N/A	N/A	N/A	30642385	GPL16384	[miRNA-3] Affymetrix Multispecies miRNA-3 Array
EMIR00000049	GSE143039	Acquired immune deficiency syndrome	Immune inflammatory disease	N/A	N/A	Exosome from Liquid milk  of patients with or without HIV-1 infection	Liquid milk derived exosomes	36	Liquid milk	Total Exosome Isolation Kit	Total Exosome RNA and Protein Isolation Kit 	HIV-1	N/A	Other	N/A	N/A	Public on Jan 04, 2020	N/A	N/A	N/A	32737406	GPL26945	NanoString nCounter Human miRNA
