,Sensitivity,Specificity,Informedness,Support,Relevant miRNAs
Benign bone and soft tissue disease,0.88,0.9,0.77,88,"{'hsa-miR-6814-5p': 2.73, 'hsa-miR-4752': 2.61, 'hsa-miR-3183': 2.25, 'hsa-miR-6811-5p': 2.16, 'hsa-miR-4713-3p': 2.03}"
Malignant bone and soft tissue tumor,0.86,0.89,0.75,83,{'hsa-miR-4279': 6.73}
Glioma,0.72,0.97,0.7,58,"{'hsa-miR-6752-3p': 10.69, 'hsa-miR-6760-3p': 4.05, 'hsa-miR-6730-3p': 3.69, 'hsa-miR-6734-3p': 2.3, 'hsa-miR-214-5p': 2.18, 'hsa-miR-5100': 2.13}"
Prostate cancer,0.95,0.72,0.67,261,"{'hsa-miR-124-5p': 42.14, 'hsa-miR-497-5p': 11.68, 'hsa-miR-6837-5p': 10.33, 'hsa-miR-127-5p': 9.32, 'hsa-miR-6734-3p': 7.29, 'hsa-miR-4757-5p': 6.03, 'hsa-miR-26b-5p': 5.08, 'hsa-miR-153-5p': 4.76, 'hsa-miR-376a-3p': 4.16, 'hsa-miR-3940-5p': 3.44, 'hsa-miR-4758-5p': 3.29, 'hsa-miR-452-3p': 3.09, 'hsa-miR-34b-3p': 3.05, 'hsa-miR-6730-3p': 2.84, 'hsa-miR-146b-3p': 2.81, 'hsa-miR-5100': 2.76, 'hsa-miR-6814-5p': 2.76, 'hsa-miR-483-3p': 2.53, 'hsa-miR-4443': 2.38, 'hsa-miR-6825-3p': 2.38, 'hsa-miR-3192-3p': 2.29, 'hsa-miR-4752': 2.09}"
Chronic hepatitis C,0.64,0.94,0.58,25,"{'hsa-miR-146b-3p': 28.47, 'hsa-miR-497-5p': 18.97, 'hsa-miR-127-5p': 13.65, 'hsa-miR-302b-3p': 10.87, 'hsa-miR-4661-5p': 10.65, 'hsa-miR-4750-5p': 10.53, 'hsa-miR-376a-3p': 10.51, 'hsa-miR-4465': 8.5, 'hsa-miR-4473': 6.79, 'hsa-miR-28-5p': 6.74, 'hsa-miR-4664-3p': 5.14, 'hsa-miR-6834-5p': 5.11, 'hsa-miR-4757-5p': 4.99, 'hsa-miR-1299': 4.36, 'hsa-let-7c': 4.24, 'hsa-miR-3192-3p': 3.51, 'hsa-miR-186-3p': 2.9, 'hsa-miR-135b-3p': 2.85, 'hsa-miR-6731-5p': 2.67, 'hsa-miR-452-3p': 2.54, 'hsa-miR-1243': 2.46, 'hsa-miR-7704': 2.42, 'hsa-miR-1287-5p': 2.41, 'hsa-miR-627-5p': 2.39, 'hsa-miR-376b-3p': 2.35, 'hsa-miR-124-5p': 2.1}"
Sarcoma,0.46,1.0,0.46,41,"{'hsa-miR-6752-3p': 38.26, 'hsa-miR-4279': 12.14, 'hsa-miR-6760-3p': 10.24, 'hsa-miR-6730-3p': 9.55, 'hsa-miR-1249-3p': 8.06, 'hsa-miR-6800-3p': 7.46, 'hsa-miR-4687-5p': 6.82, 'hsa-miR-5100': 4.47, 'hsa-miR-5001-3p': 4.45, 'hsa-miR-6785-3p': 3.83, 'hsa-miR-483-3p': 3.03, 'hsa-miR-758-3p': 2.57, 'hsa-miR-3685': 2.55, 'hsa-miR-4749-3p': 2.12, 'hsa-miR-3151-3p': 2.02}"
Hepatocellular carcinoma,0.46,0.97,0.44,54,"{'hsa-miR-6752-3p': 26.67, 'hsa-miR-4279': 9.02, 'hsa-miR-6760-3p': 7.15, 'hsa-miR-1249-3p': 6.35, 'hsa-miR-6730-3p': 5.82, 'hsa-miR-6800-3p': 5.78, 'hsa-miR-4687-5p': 5.31, 'hsa-miR-5001-3p': 2.76, 'hsa-miR-5100': 2.68, 'hsa-miR-6785-3p': 2.59, 'hsa-miR-3685': 2.25}"
Pancreatic cancer,0.36,0.98,0.34,85,"{'hsa-miR-4279': 32.86, 'hsa-miR-6752-3p': 25.39, 'hsa-miR-3151-3p': 7.98, 'hsa-miR-6760-3p': 7.14, 'hsa-miR-5001-3p': 7.02, 'hsa-miR-3162-3p': 6.48, 'hsa-miR-365b-3p': 6.16, 'hsa-miR-1249-3p': 5.83, 'hsa-miR-365a-3p': 5.28, 'hsa-miR-4687-5p': 5.16, 'hsa-miR-6884-3p': 5.01, 'hsa-miR-6730-3p': 4.78, 'hsa-miR-6800-3p': 4.54, 'hsa-miR-6785-3p': 4.33, 'hsa-miR-3685': 2.92, 'hsa-miR-4749-3p': 2.82, 'hsa-miR-193b-3p': 2.78, 'hsa-miR-5100': 2.43, 'hsa-miR-130b-5p': 2.14}"
Nasopharyngeal carcinoma,1.0,0.33,0.33,24,"{'hsa-miR-302b-3p': 12.84, 'hsa-miR-622': 10.66, 'hsa-miR-28-5p': 8.77, 'hsa-miR-376b-3p': 8.34, 'hsa-miR-338-3p': 6.93, 'hsa-miR-146b-3p': 6.33, 'hsa-miR-330-3p': 6.23, 'hsa-miR-196b-5p': 5.49, 'hsa-miR-602': 4.83, 'hsa-miR-196a-5p': 4.37, 'hsa-miR-135b-3p': 4.31, 'hsa-miR-3124-5p': 4.23, 'hsa-miR-524-3p': 4.21, 'hsa-miR-374b-5p': 4.19, 'hsa-miR-376a-3p': 4.04, 'hsa-miR-99a-5p': 3.93, 'hsa-miR-3195': 3.45, 'hsa-miR-1299': 2.88, 'hsa-miR-519d-3p': 2.81, 'hsa-miR-125b-2-3p': 2.69, 'hsa-miR-4304': 2.68, 'hsa-miR-623': 2.65, 'hsa-miR-518d-3p': 2.63, 'hsa-miR-631': 2.25, 'hsa-miR-513b-5p': 2.17, 'hsa-miR-100-5p': 2.06}"
Multiple myeloma,0.83,0.5,0.33,6,"{'hsa-miR-6837-5p': 18.73, 'hsa-miR-376a-3p': 13.23, 'hsa-miR-6814-5p': 10.52, 'hsa-miR-1287-5p': 9.53, 'hsa-miR-6782-5p': 5.05, 'hsa-miR-4664-3p': 4.49, 'hsa-miR-127-5p': 4.3, 'hsa-miR-376c-3p': 4.06, 'hsa-miR-6795-5p': 3.38, 'hsa-miR-890': 2.99, 'hsa-miR-6845-5p': 2.97, 'hsa-miR-6811-5p': 2.83, 'hsa-miR-6796-5p': 2.79, 'hsa-miR-3939': 2.73, 'hsa-miR-4752': 2.58, 'hsa-miR-302b-3p': 2.56, 'hsa-miR-146b-3p': 2.52, 'hsa-miR-27b-3p': 2.48, 'hsa-miR-4430': 2.44}"
Intrahepatic cholangiocarcinoma,0.45,0.88,0.33,20,"{'hsa-miR-4279': 21.74, 'hsa-miR-3151-3p': 12.71, 'hsa-miR-3162-3p': 11.14, 'hsa-miR-6867-3p': 10.94, 'hsa-miR-1197': 8.35, 'hsa-miR-6729-3p': 8.22, 'hsa-miR-31-3p': 6.73, 'hsa-miR-6082': 6.56, 'hsa-miR-4713-5p': 6.49, 'hsa-miR-549a-3p': 6.45, 'hsa-miR-3675-3p': 6.06, 'hsa-miR-5092': 5.47, 'hsa-miR-7106-3p': 5.11, 'hsa-miR-7973': 5.08, 'hsa-miR-4701-5p': 5.06, 'hsa-miR-4423-3p': 4.83, 'hsa-miR-4640-3p': 4.81, 'hsa-miR-5571-5p': 4.81, 'hsa-miR-550b-3p': 4.62, 'hsa-miR-365b-3p': 4.53, 'hsa-miR-6749-3p': 4.38, 'hsa-miR-365a-3p': 4.31, 'hsa-miR-6834-3p': 4.29, 'hsa-miR-6748-3p': 4.27, 'hsa-miR-3667-3p': 4.13, 'hsa-miR-4433b-5p': 4.05, 'hsa-miR-4676-3p': 3.96, 'hsa-miR-6801-3p': 3.89, 'hsa-miR-193b-3p': 3.86, 'hsa-miR-6762-3p': 3.71, 'hsa-miR-5006-3p': 3.7, 'hsa-miR-197-3p': 3.62, 'hsa-miR-6778-3p': 3.58, 'hsa-miR-4715-3p': 3.55, 'hsa-miR-505-3p': 3.38, 'hsa-miR-4275': 3.15, 'hsa-miR-6500-5p': 3.1, 'hsa-miR-193a-3p': 3.09, 'hsa-miR-618': 3.07, 'hsa-miR-6731-3p': 3.05, 'hsa-miR-629-3p': 3.02, 'hsa-miR-6821-3p': 3.02, 'hsa-miR-6888-3p': 2.93, 'hsa-miR-7114-3p': 2.92, 'hsa-miR-4310': 2.81, 'hsa-miR-4422': 2.7, 'hsa-miR-6875-3p': 2.68, 'hsa-miR-6798-3p': 2.67, 'hsa-miR-3682-3p': 2.63, 'hsa-miR-6886-3p': 2.62, 'hsa-miR-1295a': 2.57, 'hsa-miR-6815-3p': 2.47, 'hsa-miR-6791-3p': 2.46, 'hsa-miR-27b-5p': 2.45, 'hsa-miR-6884-3p': 2.43, 'hsa-miR-551b-3p': 2.42, 'hsa-miR-626': 2.39, 'hsa-miR-6852-3p': 2.34, 'hsa-miR-3183': 2.29, 'hsa-miR-632': 2.28, 'hsa-miR-6833-3p': 2.25, 'hsa-miR-6772-3p': 2.24, 'hsa-miR-122b-3p': 2.24, 'hsa-miR-24-1-5p': 2.18, 'hsa-miR-3650': 2.18, 'hsa-miR-4755-5p': 2.15, 'hsa-miR-4711-3p': 2.15, 'hsa-miR-5588-3p': 2.08, 'hsa-miR-616-5p': 2.07, 'hsa-miR-1825': 2.07, 'hsa-miR-6750-3p': 2.05, 'hsa-miR-5187-3p': 2.01}"
Colorectal carcinoma,0.33,1.0,0.33,3,"{'hsa-miR-34b-3p': 11.05, 'hsa-miR-1224-3p': 6.0, 'hsa-miR-483-3p': 5.99, 'hsa-miR-1298-5p': 5.02, 'hsa-miR-616-3p': 4.93, 'hsa-miR-192-3p': 4.55, 'hsa-miR-1226-3p': 3.97, 'hsa-miR-1468-5p': 3.82, 'hsa-miR-323b-3p': 3.76, 'hsa-miR-1229-3p': 3.69, 'hsa-miR-339-5p': 3.05, 'hsa-miR-4290': 3.0, 'hsa-miR-758-3p': 2.98, 'hsa-miR-19b-3p': 2.92, 'hsa-miR-935': 2.81, 'hsa-miR-1227-3p': 2.58, 'hsa-miR-411-3p': 2.51, 'hsa-miR-4267': 2.51, 'hsa-miR-548v': 2.16, 'hsa-miR-379-3p': 2.08, 'hsa-miR-101-3p': 2.01}"
Stomach cancer,0.34,0.99,0.32,65,"{'hsa-miR-6752-3p': 28.73, 'hsa-miR-365a-3p': 24.82, 'hsa-miR-4279': 17.01, 'hsa-miR-6760-3p': 8.92, 'hsa-miR-6730-3p': 7.51, 'hsa-miR-6800-3p': 6.39, 'hsa-miR-1249-3p': 5.99, 'hsa-miR-365b-3p': 5.23, 'hsa-miR-4687-5p': 5.0, 'hsa-miR-6893-3p': 4.28, 'hsa-miR-3151-3p': 3.93, 'hsa-miR-193b-3p': 3.76, 'hsa-miR-6785-3p': 3.74, 'hsa-miR-5001-3p': 3.41, 'hsa-miR-5100': 3.29, 'hsa-miR-3162-3p': 2.88, 'hsa-miR-197-3p': 2.85, 'hsa-miR-483-3p': 2.84, 'hsa-miR-130b-5p': 2.8, 'hsa-miR-3685': 2.79, 'hsa-miR-6884-3p': 2.73, 'hsa-miR-758-3p': 2.31}"
Wilms tumor (before chemotherapy),0.5,0.79,0.29,6,{}
Colorectal cancer,0.28,0.99,0.27,53,"{'hsa-miR-6752-3p': 33.98, 'hsa-miR-4279': 11.82, 'hsa-let-7e': 11.19, 'hsa-miR-6760-3p': 9.07, 'hsa-miR-1249-3p': 7.47, 'hsa-miR-6730-3p': 7.22, 'hsa-miR-6800-3p': 6.43, 'hsa-miR-4687-5p': 6.2, 'hsa-miR-365a-3p': 6.0, 'hsa-miR-365b-3p': 4.06, 'hsa-miR-5001-3p': 3.45, 'hsa-miR-6785-3p': 3.38, 'hsa-miR-5100': 3.19, 'hsa-miR-483-3p': 2.68, 'hsa-miR-3685': 2.67, 'hsa-miR-3151-3p': 2.55, 'hsa-miR-6884-3p': 2.25, 'hsa-miR-758-3p': 2.17, 'hsa-miR-193b-3p': 2.06}"
Esophageal cancer,0.29,0.98,0.27,52,"{'hsa-miR-6752-3p': 31.74, 'hsa-miR-4279': 26.83, 'hsa-miR-6760-3p': 9.53, 'hsa-miR-6800-3p': 7.82, 'hsa-miR-1249-3p': 7.77, 'hsa-miR-6730-3p': 7.38, 'hsa-miR-4687-5p': 6.36, 'hsa-miR-5001-3p': 6.06, 'hsa-miR-3151-3p': 5.09, 'hsa-miR-6785-3p': 4.99, 'hsa-miR-6884-3p': 3.72, 'hsa-miR-3162-3p': 3.4, 'hsa-miR-5100': 3.12, 'hsa-miR-3685': 3.0, 'hsa-miR-193b-3p': 2.84, 'hsa-miR-483-3p': 2.69, 'hsa-miR-4749-3p': 2.5, 'hsa-miR-758-3p': 2.27}"
Type 1 autoimmune pancreatitis,0.5,0.75,0.25,2,{}
Benign pancreatic or biliary tract diseases,0.25,0.99,0.24,4,{}
Biliary tract cancer,0.24,0.97,0.2,38,"{'hsa-miR-4279': 35.84, 'hsa-miR-6752-3p': 25.0, 'hsa-miR-5001-3p': 9.33, 'hsa-miR-6760-3p': 9.05, 'hsa-miR-6730-3p': 7.3, 'hsa-miR-6785-3p': 5.96, 'hsa-miR-3151-3p': 5.37, 'hsa-miR-1249-3p': 4.74, 'hsa-miR-4687-5p': 4.51, 'hsa-miR-6884-3p': 3.95, 'hsa-miR-5100': 3.86, 'hsa-miR-3685': 3.46, 'hsa-miR-4749-3p': 3.16, 'hsa-miR-6800-3p': 2.95, 'hsa-miR-483-3p': 2.79, 'hsa-miR-3162-3p': 2.42, 'hsa-miR-193b-3p': 2.12}"
Colon carcinoma,0.89,0.29,0.17,18,"{'hsa-miR-549a-3p': 8.99, 'hsa-miR-193b-3p': 8.11, 'hsa-miR-365a-3p': 7.59, 'hsa-let-7e': 7.07, 'hsa-miR-27b-5p': 6.37, 'hsa-miR-548a-3p': 5.99, 'hsa-miR-1197': 5.81, 'hsa-miR-197-3p': 5.65, 'hsa-miR-629-3p': 5.6, 'hsa-miR-31-3p': 5.19, 'hsa-miR-675-3p': 4.27, 'hsa-miR-505-3p': 3.97, 'hsa-miR-551b-3p': 3.59, 'hsa-miR-1825': 3.54, 'hsa-miR-616-5p': 3.43, 'hsa-miR-1295a': 3.3, 'hsa-miR-193a-3p': 2.88, 'hsa-miR-182-3p': 2.86, 'hsa-miR-626': 2.64, 'hsa-miR-15b-3p': 2.6, 'hsa-miR-543': 2.58, 'hsa-miR-502-5p': 2.55, 'hsa-miR-25-3p': 2.53, 'hsa-miR-548b-3p': 2.53, 'hsa-miR-1256': 2.52, 'hsa-miR-130b-5p': 2.48, 'hsa-miR-550a-3p': 2.43, 'hsa-miR-92a-3p': 2.29, 'hsa-miR-99a-3p': 2.25, 'hsa-miR-572': 2.16, 'hsa-miR-92b-3p': 2.15, 'hsa-miR-21-3p': 2.13, 'hsa-miR-1282': 2.13, 'hsa-miR-454-5p': 2.12, 'hsa-miR-185-3p': 2.1, 'hsa-miR-483-3p': 2.09}"
Head and neck cancer,0.17,1.0,0.17,6,"{'hsa-miR-376b-3p': 4.87, 'hsa-miR-330-3p': 3.91, 'hsa-miR-196b-5p': 3.86, 'hsa-miR-602': 3.55, 'hsa-miR-135b-3p': 3.47, 'hsa-miR-99a-5p': 3.4, 'hsa-miR-3124-5p': 3.36, 'hsa-miR-146b-3p': 3.07, 'hsa-miR-302b-3p': 2.86, 'hsa-miR-374b-5p': 2.78, 'hsa-miR-524-3p': 2.63, 'hsa-miR-376a-3p': 2.52, 'hsa-miR-1299': 2.39, 'hsa-let-7a-3p': 2.31, 'hsa-miR-100-5p': 2.27, 'hsa-miR-519d-3p': 2.25, 'hsa-miR-520a-5p': 2.24, 'hsa-miR-518d-3p': 2.09, 'hsa-miR-28-5p': 2.05, 'hsa-miR-125b-2-3p': 2.01}"
Preeclampsia,0.38,0.79,0.16,8,"{'hsa-miR-6893-3p': 8.83, 'hsa-miR-4783-3p': 5.52, 'hsa-miR-5010-3p': 5.2, 'hsa-miR-1914-5p': 5.14, 'hsa-miR-324-5p': 4.9, 'hsa-miR-181b-2-3p': 4.86, 'hsa-miR-423-3p': 4.26, 'hsa-miR-1909-3p': 3.94, 'hsa-miR-1295b-5p': 3.69, 'hsa-miR-3682-5p': 3.55, 'hsa-miR-6820-3p': 3.3, 'hsa-miR-548ax': 3.22, 'hsa-miR-671-3p': 2.83, 'hsa-miR-2277-5p': 2.81, 'hsa-miR-514b-5p': 2.78, 'hsa-miR-6836-5p': 2.74, 'hsa-miR-6788-3p': 2.53, 'hsa-miR-4745-3p': 2.52, 'hsa-miR-98-3p': 2.51, 'hsa-miR-559': 2.22, 'hsa-miR-548ap-5p': 2.17}"
Wilms tumor (post chemotherapy),0.33,0.79,0.12,6,{}
Colon cancer,0.1,0.98,0.08,10,"{'hsa-miR-4279': 13.37, 'hsa-miR-6867-3p': 2.9, 'hsa-miR-1197': 2.42, 'hsa-miR-6082': 2.37, 'hsa-miR-4713-5p': 2.21, 'hsa-miR-6500-5p': 2.14, 'hsa-miR-4433b-5p': 2.02}"
Glioblastoma,0.88,0.2,0.07,8,"{'hsa-miR-4752': 4.31, 'hsa-miR-6811-5p': 3.24, 'hsa-miR-6858-3p': 2.47, 'hsa-miR-6837-5p': 2.38, 'hsa-miR-7978': 2.36, 'hsa-miR-1915-5p': 2.25, 'hsa-miR-214-5p': 2.07}"
Thyroid cancer,1.0,0.0,0.0,3,"{'hsa-miR-338-3p': 4.68, 'hsa-miR-146b-3p': 2.12}"
Ventricular septal defect in the fetus,0.0,1.0,0.0,2,{}
Pre-term birth,0.0,1.0,0.0,8,"{'hsa-miR-1914-5p': 22.83, 'hsa-miR-4312': 20.76, 'hsa-miR-4783-3p': 17.48, 'hsa-miR-5010-3p': 14.69, 'hsa-miR-324-5p': 12.18, 'hsa-miR-423-3p': 11.96, 'hsa-miR-181b-2-3p': 7.11, 'hsa-miR-6893-3p': 6.36, 'hsa-miR-3683': 6.24, 'hsa-miR-622': 5.92, 'hsa-miR-4764-3p': 5.44, 'hsa-miR-1295b-5p': 5.09, 'hsa-miR-3682-5p': 4.86, 'hsa-miR-548ax': 4.85, 'hsa-miR-6820-3p': 4.68, 'hsa-miR-4745-3p': 4.53, 'hsa-miR-1909-3p': 4.0, 'hsa-miR-6788-3p': 3.96, 'hsa-miR-764': 3.67, 'hsa-miR-514b-5p': 3.52, 'hsa-miR-2277-5p': 3.5, 'hsa-miR-548ap-5p': 3.31, 'hsa-miR-671-3p': 3.21, 'hsa-miR-4777-3p': 2.86, 'hsa-miR-3664-5p': 2.61, 'hsa-miR-6836-5p': 2.61, 'hsa-miR-324-3p': 2.57, 'hsa-miR-4524b-3p': 2.57, 'hsa-miR-3184-5p': 2.52, 'hsa-miR-7160-3p': 2.44, 'hsa-miR-6740-3p': 2.37, 'hsa-miR-559': 2.31, 'hsa-miR-5707': 2.19, 'hsa-miR-6848-3p': 2.09, 'hsa-miR-1911-3p': 2.04, 'hsa-miR-4672': 2.03}"
