,Sensitivity,Specificity,Informedness,Support,Relevant miRNAs
Bladder cancer,0.88,0.93,0.81,89,"{'hsa-miR-5100': 0.613, 'hsa-miR-1228-5p': 0.461, 'hsa-miR-6088': 0.058, 'hsa-miR-1343-3p': 0.019, 'hsa-miR-221-3p': 0.017, 'hsa-miR-4728-5p': 0.011, 'hsa-miR-6831-5p': 0.009, 'hsa-miR-4652-5p': 0.008, 'hsa-miR-6717-5p': 0.006, 'hsa-miR-6836-3p': 0.006, 'hsa-miR-16-5p': 0.005, 'hsa-miR-3162-3p': 0.005, 'hsa-miR-4633-5p': 0.005, 'hsa-miR-4763-3p': 0.005, 'hsa-miR-6515-5p': 0.004, 'hsa-miR-1233-5p': 0.004, 'hsa-miR-7152-3p': 0.004, 'hsa-miR-320b': 0.003, 'hsa-miR-195-5p': 0.003, 'hsa-miR-328-5p': 0.003}"
Benign bone and soft tissue disease,0.88,0.91,0.78,88,"{'hsa-miR-1228-5p': 0.391, 'hsa-miR-5100': 0.305, 'hsa-miR-192-5p': 0.115, 'hsa-miR-6803-5p': 0.021, 'hsa-miR-5007-3p': 0.019, 'hsa-miR-3611': 0.015, 'hsa-miR-505-5p': 0.011, 'hsa-miR-454-5p': 0.011, 'hsa-miR-18b-5p': 0.011, 'hsa-miR-548az-5p': 0.011, 'hsa-miR-662': 0.011, 'hsa-miR-1261': 0.011, 'hsa-miR-4776-5p': 0.011, 'hsa-miR-6776-3p': 0.011, 'hsa-miR-8065': 0.011, 'hsa-miR-6750-3p': 0.009, 'hsa-miR-378c': 0.008, 'hsa-miR-154-5p': 0.008, 'hsa-miR-378j': 0.008, 'hsa-miR-1279': 0.008}"
Malignant bone and soft tissue tumor,0.83,0.9,0.73,83,"{'hsa-miR-1228-5p': 0.366, 'hsa-miR-192-5p': 0.266, 'hsa-miR-5100': 0.17, 'hsa-miR-6803-5p': 0.02, 'hsa-miR-137-3p': 0.013, 'hsa-miR-181c-5p': 0.005, 'hsa-miR-154-5p': 0.005, 'hsa-miR-380-5p': 0.005, 'hsa-miR-548b-3p': 0.005, 'hsa-miR-1207-5p': 0.005, 'hsa-miR-1279': 0.005, 'hsa-miR-1295b-5p': 0.003, 'hsa-miR-3129-3p': 0.003, 'hsa-miR-4760-3p': 0.003, 'hsa-miR-4768-3p': 0.003, 'hsa-miR-6737-3p': 0.003, 'hsa-miR-6760-5p': 0.003, 'hsa-miR-4706': 0.002, 'hsa-miR-4435': 0.002, 'hsa-miR-4655-5p': 0.002}"
Esophageal cancer,0.67,1.0,0.67,52,"{'hsa-miR-5100': 0.308, 'hsa-miR-1228-5p': 0.264, 'hsa-miR-1199-5p': 0.096, 'hsa-miR-6836-3p': 0.083, 'hsa-miR-192-5p': 0.076, 'hsa-miR-3978': 0.063, 'hsa-miR-1343-3p': 0.051, 'hsa-miR-6088': 0.045, 'hsa-miR-3160-5p': 0.038, 'hsa-miR-6717-5p': 0.033, 'hsa-miR-187-5p': 0.032, 'hsa-miR-6741-5p': 0.026, 'hsa-miR-3188': 0.026, 'hsa-miR-4710': 0.019, 'hsa-miR-6515-5p': 0.019, 'hsa-miR-548ba': 0.019, 'hsa-miR-4634': 0.019, 'hsa-miR-6736-5p': 0.019, 'hsa-miR-6754-5p': 0.019, 'hsa-miR-6820-5p': 0.019}"
Wilms tumor (before chemotherapy),0.67,1.0,0.67,6,"{'hsa-miR-1228-5p': 0.389, 'hsa-miR-1225-5p': 0.333, 'hsa-miR-5100': 0.167, 'hsa-miR-1207-5p': 0.167, 'hsa-miR-6803-5p': 0.167, 'hsa-miR-888-3p': 0.071, 'hsa-miR-219a-1-3p': 0.048, 'hsa-miR-449c-5p': 0.048, 'hsa-miR-10b-5p': 0.024}"
Stomach cancer,0.68,0.99,0.66,65,"{'hsa-miR-5100': 0.363, 'hsa-miR-1228-5p': 0.342, 'hsa-miR-1343-3p': 0.114, 'hsa-miR-6862-3p': 0.087, 'hsa-miR-1199-5p': 0.084, 'hsa-miR-9-5p': 0.076, 'hsa-miR-192-5p': 0.061, 'hsa-miR-6088': 0.039, 'hsa-miR-6845-5p': 0.026, 'hsa-miR-3188': 0.02, 'hsa-miR-342-5p': 0.015, 'hsa-miR-3177-3p': 0.015, 'hsa-miR-6793-5p': 0.015, 'hsa-miR-6787-3p': 0.015, 'hsa-miR-4646-5p': 0.015, 'hsa-miR-324-3p': 0.015, 'hsa-miR-6812-3p': 0.015, 'hsa-miR-4716-3p': 0.015, 'hsa-miR-6757-5p': 0.015, 'hsa-miR-4435': 0.015}"
Pancreatic cancer,0.67,0.99,0.66,85,"{'hsa-miR-5100': 0.322, 'hsa-miR-1228-5p': 0.218, 'hsa-miR-6717-5p': 0.036, 'hsa-miR-1199-5p': 0.036, 'hsa-miR-1343-3p': 0.033, 'hsa-miR-6088': 0.033, 'hsa-miR-6746-5p': 0.031, 'hsa-miR-6836-3p': 0.03, 'hsa-miR-187-5p': 0.021, 'hsa-miR-4732-5p': 0.02, 'hsa-miR-125a-3p': 0.019, 'hsa-miR-3917': 0.019, 'hsa-miR-6893-5p': 0.016, 'hsa-miR-1246': 0.015, 'hsa-miR-6820-5p': 0.013, 'hsa-miR-146a-5p': 0.012, 'hsa-miR-29c-5p': 0.012, 'hsa-miR-585-5p': 0.012, 'hsa-miR-6075': 0.012, 'hsa-miR-8059': 0.012}"
Liver cancer,0.7,0.94,0.64,10,"{'hsa-miR-1228-5p': 0.235, 'hsa-miR-3188': 0.127, 'hsa-miR-1199-5p': 0.112}"
Chronic hepatitis C,0.88,0.75,0.63,25,"{'hsa-miR-1228-5p': 0.248, 'hsa-miR-5100': 0.145, 'hsa-miR-583': 0.089, 'hsa-miR-6777-5p': 0.061, 'hsa-miR-6829-5p': 0.061, 'hsa-miR-1199-5p': 0.052, 'hsa-miR-17-3p': 0.042, 'hsa-miR-1256': 0.042, 'hsa-miR-6752-5p': 0.042, 'hsa-miR-423-5p': 0.04, 'hsa-miR-342-5p': 0.04, 'hsa-miR-202-3p': 0.04, 'hsa-miR-4800-3p': 0.04, 'hsa-miR-6757-5p': 0.04, 'hsa-miR-933': 0.04, 'hsa-miR-3150b-5p': 0.04, 'hsa-miR-3620-5p': 0.04, 'hsa-miR-149-3p': 0.04, 'hsa-miR-149-5p': 0.04, 'hsa-miR-369-5p': 0.04}"
Benign prostate disease,0.62,1.0,0.62,29,"{'hsa-miR-3160-5p': 0.231, 'hsa-miR-1228-5p': 0.23, 'hsa-miR-1199-5p': 0.221, 'hsa-miR-5100': 0.085, 'hsa-miR-4456': 0.08, 'hsa-miR-1249-3p': 0.034, 'hsa-miR-4433a-5p': 0.034, 'hsa-miR-514b-5p': 0.028, 'hsa-miR-16-5p': 0.023, 'hsa-miR-4732-5p': 0.023, 'hsa-miR-1246': 0.023, 'hsa-miR-3188': 0.023, 'hsa-miR-8059': 0.023, 'hsa-miR-1307-3p': 0.011, 'hsa-miR-494-3p': 0.001, 'hsa-miR-629-5p': 0.0, 'hsa-miR-629-3p': 0.0, 'hsa-miR-7851-3p': 0.0}"
Intrahepatic cholangiocarcinoma,0.95,0.65,0.6,20,"{'hsa-miR-1228-5p': 0.376, 'hsa-miR-5100': 0.106, 'hsa-miR-548x-3p': 0.037}"
Colon carcinoma,1.0,0.57,0.57,18,"{'hsa-miR-1228-5p': 0.339, 'hsa-miR-190b-5p': 0.333, 'hsa-miR-1262': 0.238, 'hsa-miR-5100': 0.146, 'hsa-miR-196a-5p': 0.143, 'hsa-miR-548d-5p': 0.143, 'hsa-miR-7-5p': 0.095, 'hsa-miR-32-3p': 0.095, 'hsa-miR-7845-5p': 0.048}"
Sarcoma,0.56,1.0,0.56,41,"{'hsa-miR-5100': 0.277, 'hsa-miR-1199-5p': 0.082, 'hsa-miR-6088': 0.049, 'hsa-miR-187-5p': 0.041, 'hsa-miR-6836-3p': 0.041, 'hsa-miR-6816-5p': 0.025, 'hsa-miR-3188': 0.024, 'hsa-miR-6768-5p': 0.024, 'hsa-miR-5698': 0.016, 'hsa-miR-6736-5p': 0.016, 'hsa-miR-1228-5p': 0.014, 'hsa-miR-6717-5p': 0.002, 'hsa-miR-1343-3p': 0.001}"
Colorectal cancer,0.51,0.99,0.5,53,"{'hsa-miR-1228-5p': 0.293, 'hsa-miR-5100': 0.261, 'hsa-miR-6088': 0.121, 'hsa-miR-192-5p': 0.111, 'hsa-miR-1343-3p': 0.069, 'hsa-miR-190b-5p': 0.057, 'hsa-miR-1262': 0.038, 'hsa-miR-548d-5p': 0.025, 'hsa-miR-196a-5p': 0.019, 'hsa-miR-32-3p': 0.019, 'hsa-miR-548q': 0.019, 'hsa-miR-4463': 0.019, 'hsa-miR-4472': 0.019, 'hsa-miR-137-3p': 0.018, 'hsa-miR-4273': 0.018, 'hsa-miR-7-5p': 0.013, 'hsa-miR-6717-5p': 0.013, 'hsa-miR-4675': 0.013, 'hsa-miR-4728-5p': 0.013, 'hsa-miR-6836-3p': 0.013}"
Obesity-related disease,1.0,0.5,0.5,2,"{'hsa-miR-5100': 0.333, 'hsa-miR-548x-3p': 0.333, 'hsa-miR-1228-5p': 0.167, 'hsa-miR-6803-5p': 0.167}"
Retinoblastoma,1.0,0.5,0.5,5,"{'hsa-miR-4529-3p': 0.65, 'hsa-miR-3689c': 0.5, 'hsa-miR-4689': 0.4, 'hsa-miR-7107-5p': 0.4, 'hsa-miR-8071': 0.4, 'hsa-miR-1228-5p': 0.367, 'hsa-miR-570-5p': 0.35, 'hsa-miR-548ba': 0.333, 'hsa-miR-548x-3p': 0.317, 'hsa-miR-5094': 0.3, 'hsa-miR-8059': 0.3, 'hsa-miR-6775-5p': 0.267, 'hsa-miR-6820-5p': 0.267, 'hsa-miR-22-3p': 0.25, 'hsa-miR-4655-5p': 0.25, 'hsa-miR-4695-5p': 0.25, 'hsa-miR-3928-3p': 0.233, 'hsa-miR-6803-5p': 0.233, 'hsa-miR-3201': 0.217, 'hsa-miR-191-5p': 0.2}"
Ventricular septal defect in the fetus,0.5,1.0,0.5,2,"{'hsa-let-7c-5p': 0.5, 'hsa-miR-1228-5p': 0.333, 'hsa-miR-6071': 0.333, 'hsa-miR-150-3p': 0.167, 'hsa-miR-1207-5p': 0.167, 'hsa-miR-1225-5p': 0.167, 'hsa-miR-3928-3p': 0.167, 'hsa-miR-6803-5p': 0.167}"
Biliary tract cancer,0.42,0.97,0.39,38,"{'hsa-miR-1199-5p': 0.148, 'hsa-miR-5100': 0.099, 'hsa-miR-1228-5p': 0.077, 'hsa-miR-6820-5p': 0.05, 'hsa-miR-6836-3p': 0.044, 'hsa-miR-125a-3p': 0.04, 'hsa-miR-1343-3p': 0.029, 'hsa-miR-6088': 0.029, 'hsa-miR-6840-3p': 0.028, 'hsa-miR-4755-3p': 0.026, 'hsa-miR-1915-5p': 0.026, 'hsa-miR-4505': 0.026, 'hsa-miR-4634': 0.026, 'hsa-miR-187-5p': 0.025, 'hsa-miR-6717-5p': 0.025, 'hsa-miR-548x-3p': 0.025, 'hsa-miR-4771': 0.025, 'hsa-miR-8059': 0.025, 'hsa-miR-221-3p': 0.019, 'hsa-miR-1301-5p': 0.019}"
Hepatocellular carcinoma,0.39,0.99,0.38,54,"{'hsa-miR-1228-5p': 0.188, 'hsa-miR-5100': 0.115, 'hsa-miR-6088': 0.097, 'hsa-miR-1343-3p': 0.057, 'hsa-miR-221-3p': 0.036, 'hsa-miR-3978': 0.036, 'hsa-miR-6836-3p': 0.029, 'hsa-miR-192-5p': 0.019, 'hsa-miR-495-3p': 0.019, 'hsa-miR-583': 0.019, 'hsa-miR-4695-5p': 0.019, 'hsa-miR-6861-5p': 0.019, 'hsa-miR-7150': 0.019, 'hsa-miR-4534': 0.013, 'hsa-miR-6752-5p': 0.013, 'hsa-miR-17-3p': 0.012, 'hsa-miR-371a-5p': 0.012, 'hsa-miR-1256': 0.012, 'hsa-miR-4258': 0.012, 'hsa-miR-4689': 0.012}"
Nasopharyngeal carcinoma,0.96,0.42,0.38,24,"{'hsa-miR-1228-5p': 0.25, 'hsa-miR-3188': 0.125, 'hsa-miR-5100': 0.097, 'hsa-miR-3160-5p': 0.042, 'hsa-miR-1199-5p': 0.028}"
Head and neck cancer,0.33,1.0,0.33,6,"{'hsa-miR-1228-5p': 0.133, 'hsa-miR-5100': 0.111, 'hsa-miR-6803-5p': 0.111, 'hsa-miR-548x-3p': 0.056}"
Multiple myeloma,0.33,1.0,0.33,6,"{'hsa-miR-1228-5p': 0.222, 'hsa-miR-548x-3p': 0.111, 'hsa-miR-6071': 0.056, 'hsa-miR-6803-5p': 0.056, 'hsa-miR-8059': 0.056, 'hsa-miR-516b-3p': 0.056}"
Acquired immune deficiency syndrome,0.8,0.5,0.3,5,{'hsa-miR-1228-5p': 0.467}
Glioblastoma,0.88,0.4,0.27,8,"{'hsa-miR-4298': 0.2, 'hsa-miR-3188': 0.167, 'hsa-miR-1199-5p': 0.133, 'hsa-miR-106b-3p': 0.125, 'hsa-miR-204-3p': 0.125, 'hsa-miR-526a-5p': 0.125, 'hsa-let-7i-5p': 0.083, 'hsa-miR-638': 0.067, 'hsa-let-7g-5p': 0.058, 'hsa-miR-1260b': 0.042, 'hsa-miR-135a-5p': 0.042, 'hsa-miR-190b-5p': 0.042, 'hsa-miR-3160-5p': 0.042, 'hsa-miR-548c-5p': 0.042, 'hsa-miR-6071': 0.017, 'hsa-miR-3130-3p': 0.008}"
Colon cancer,0.2,1.0,0.2,10,"{'hsa-miR-4257': 0.167, 'hsa-miR-6803-5p': 0.1, 'hsa-miR-1249-3p': 0.067, 'hsa-miR-6511a-5p': 0.067, 'hsa-miR-6820-5p': 0.067, 'hsa-miR-8059': 0.067, 'hsa-miR-548x-3p': 0.033, 'hsa-miR-4433a-3p': 0.006, 'hsa-miR-30c-5p': 0.003, 'hsa-miR-125a-3p': 0.003, 'hsa-miR-4788': 0.003}"
Pre-term birth,0.12,1.0,0.12,8,"{'hsa-miR-1228-5p': 0.125, 'hsa-miR-23c': 0.125, 'hsa-miR-151b': 0.125, 'hsa-miR-190b-5p': 0.125, 'hsa-miR-301a-3p': 0.125, 'hsa-miR-377-3p': 0.125, 'hsa-miR-6773-5p': 0.125, 'hsa-miR-7706': 0.083, 'hsa-miR-224-5p': 0.083, 'hsa-miR-362-5p': 0.083, 'hsa-miR-184': 0.083, 'hsa-miR-299-3p': 0.083, 'hsa-miR-498-5p': 0.083, 'hsa-miR-548x-3p': 0.083, 'hsa-miR-3128': 0.083, 'hsa-miR-4798-5p': 0.083, 'hsa-miR-5707': 0.083, 'hsa-miR-6748-3p': 0.083, 'hsa-miR-199b-3p': 0.083, 'hsa-let-7g-5p': 0.042}"
Benign breast disease,0.08,1.0,0.07,13,"{'hsa-miR-1228-5p': 0.05, 'hsa-miR-5100': 0.025, 'hsa-miR-6803-5p': 0.024, 'hsa-miR-576-5p': 0.003, 'hsa-miR-4722-5p': 0.0}"
Preeclampsia,0.0,1.0,0.0,8,{}
Benign ovarian disease,0.0,1.0,0.0,8,{}
Type 1 autoimmune pancreatitis,0.0,1.0,0.0,2,{}
Thyroid cancer,1.0,0.0,0.0,3,"{'hsa-miR-5100': 0.056, 'hsa-miR-1228-5p': 0.0}"
Benign pancreatic or biliary tract diseases,0.0,1.0,0.0,4,{}
Squamous cell carcinoma,0.0,1.0,0.0,1,{}
Small cell lung carcinoma,0.0,1.0,0.0,1,{}
Benign thyroid nodule,0.0,1.0,0.0,2,{}
Borderline ovarian tumor,0.0,1.0,0.0,13,{}
Cholelithiasis,0.0,1.0,0.0,2,{}
Primary central nervous system lymphomas,0.0,1.0,0.0,8,{}
Lung carcinoma,1.0,0.0,0.0,41,{}
Liver cirrhosis,0.0,1.0,0.0,1,{}
Polycystic ovary syndrome,0.33,0.67,0.0,3,"{'hsa-miR-142-3p': 0.333, 'hsa-miR-548ae-5p': 0.333, 'hsa-miR-5100': 0.111, 'hsa-miR-548x-3p': 0.111, 'hsa-miR-4695-5p': 0.111, 'hsa-miR-8059': 0.111}"
Perioperative myocardial injury,0.0,1.0,0.0,1,{}
Colorectal carcinoma,0.0,1.0,0.0,3,{}
Fulminant myocarditis,0.0,1.0,0.0,1,{}
Gestational diabetes mellitus,0.0,1.0,0.0,3,{}
Non-small cell lung cancer,1.0,0.0,0.0,4,"{'hsa-let-7e': 0.5, 'hsa-miR-548x-3p': 0.167, 'hsa-miR-8059': 0.167, 'hsa-miR-1260b': 0.083, 'hsa-miR-4688': 0.083}"
Non-alcoholic steatohepatitis,0.0,1.0,0.0,1,{}
Metastatic brain tumors,0.0,1.0,0.0,6,{}
Meningioma,0.0,1.0,0.0,3,{}
Intermediate bone and soft tissue tumor,0.0,1.0,-0.0,29,"{'hsa-miR-192-5p': 0.008, 'hsa-miR-5001-3p': 0.001}"
Lung adenocarcinoma,0.0,0.82,-0.18,7,{}
