,GAT Validated miRNAs,Bagging Validated miRNAs
Non-alcoholic steatohepatitis,,
Non-small cell lung cancer,"hsa-mir-1915, hsa-mir-451a, hsa-mir-106b, hsa-mir-222, hsa-mir-195, hsa-mir-296, hsa-mir-1248, hsa-mir-1911, hsa-mir-202, hsa-mir-148b","hsa-mir-1260b, hsa-let-7e"
Obesity-related disease,"hsa-mir-23b, hsa-mir-576, hsa-mir-193b, hsa-mir-195",hsa-mir-6803
Oral squamous cell cancer,"hsa-mir-204, hsa-mir-142, hsa-mir-2392, hsa-mir-195, hsa-mir-149, hsa-mir-1248, hsa-mir-197",hsa-mir-5100
Ovarian cancer,"hsa-mir-4783, hsa-mir-770, hsa-mir-195, hsa-mir-339, hsa-mir-23b","hsa-mir-187, hsa-mir-1343, hsa-mir-5100, hsa-mir-221, hsa-mir-1228"
Pancreatic cancer,hsa-mir-570,"hsa-mir-1343, hsa-mir-5100, hsa-mir-29c, hsa-mir-146a, hsa-mir-1246, hsa-mir-1228, hsa-mir-125a"
Perioperative myocardial injury,,
Polycystic ovary syndrome,"hsa-mir-192, hsa-mir-451a, hsa-mir-424, hsa-mir-296, hsa-mir-339, hsa-mir-28, hsa-mir-16, hsa-mir-18b",hsa-mir-142
Pre-term birth,"hsa-mir-424, hsa-mir-1248",hsa-mir-199b
Preeclampsia,"hsa-mir-1248, hsa-mir-199b, hsa-let-7g",
Primary central nervous system lymphomas,,
Prostate cancer,"hsa-mir-133a, hsa-mir-204, hsa-mir-199b, hsa-mir-222, hsa-mir-296, hsa-mir-19a, hsa-mir-191, hsa-mir-1227, hsa-mir-149, hsa-mir-9, hsa-mir-212, hsa-mir-197","hsa-mir-221, hsa-mir-152, hsa-let-7c, hsa-mir-132, hsa-mir-186, hsa-mir-149, hsa-mir-124, hsa-mir-212, hsa-mir-25, hsa-mir-197, hsa-mir-1228"
Retinoblastoma,,
Sarcoma,,
Small cell lung carcinoma,"hsa-mir-93, hsa-mir-20b, hsa-mir-195",
Squamous cell carcinoma,,
Stomach cancer,"hsa-mir-204, hsa-mir-339, hsa-mir-125b-1, hsa-mir-149, hsa-mir-548g, hsa-mir-197, hsa-mir-134","hsa-mir-192, hsa-mir-1343, hsa-mir-5100, hsa-mir-342, hsa-mir-4646, hsa-mir-9, hsa-mir-6845, hsa-mir-1228"
Thyroid cancer,"hsa-mir-204, hsa-mir-150, hsa-mir-1183, hsa-mir-149",
Type 1 autoimmune pancreatitis,,
Ventricular septal defect in the fetus,,
Wilms tumor (before chemotherapy),hsa-mir-424,
Wilms tumor (post chemotherapy),hsa-mir-424,
